No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
11,Basic,"What are Confidential Transactions""?""",Secretly conducted OTC transactions,Transactions visible only to participants,A technique for hiding transaction amounts while maintaining verifiability,Transactions using confidential information,C,Single Choice
12,Basic,"What is a Key Leakage"" vulnerability?""",A lock being picked,A security issue where private keys are leaked or stolen through various means,API key expiration,Flaws in key generation algorithms,B,Single Choice
13,Basic,"What is a Mnemonic Phrase""?""",A phrase that helps memory,A series of words used to generate and recover cryptocurrency wallet private keys,A slogan for a blockchain project,Comments in a smart contract,B,Single Choice
14,Basic,"What is a Hot Wallet""?""",A newly launched wallet product,An online cryptocurrency wallet connected to the internet,A wallet storing large amounts of cryptocurrency,A physical wallet with high temperature,B,Single Choice
15,Basic,"What is a Multisignature"" wallet?""",A wallet requiring multiple signatures,A wallet requiring authorization from multiple private keys to execute transactions,A wallet supporting multiple signature algorithms,A wallet designed by multiple people,B,Single Choice
16,Basic,"What is a Phishing Attack""?""",An attack conducted while fishing,An attack where attackers impersonate trusted entities to trick users into revealing sensitive information,Malware with a fish-shaped icon,An attack targeting the fish market,B,Single Choice
17,Basic,"What is DNS Hijacking""?""",Stealing DNS servers,An attack that redirects DNS requests to malicious servers,Registering domains similar to well-known brands,Shutting down DNS services,B,Single Choice
18,Basic,"What is Typosquatting""?""",Registering domains with spelling errors to deceive users,Using special characters in domain names,Frequently changing domain names,Using extremely long domain names,A,Single Choice
19,Basic,"What is Ransomware""?""",Software that demands high prices,Malicious software that encrypts victim's data and demands payment for decryption,Software rental services,Software used for bargaining,B,Single Choice
20,Basic,"What is a Honeypot""?""",A container for storing honey,A security trap deliberately set to detect or distract attackers,A sweet reward program,A user-friendly interface,B,Single Choice
21,Basic,"What is Penetration Testing""?""",Testing the ability of objects to penetrate water,Authorized testing that simulates real attacks to evaluate system security,Testing network penetration rates,Testing user penetration of security training,B,Single Choice
22,Basic,"What is Formal Verification""?""",A formal software testing process,A technique using mathematical methods to prove that a program meets its specification,A process to verify the official version of software,Verification conducted by an official institution,B,Single Choice
23,Basic,"What is Dynamic Analysis""?""",Analysis of moving objects,Analysis of a program during runtime to discover potential issues,Analysis of dynamic websites,Analysis of changing data,B,Single Choice
24,Basic,"What is the Principle of Least Privilege""?""",Only giving privileges to the privileged class,A principle that users or programs should only be granted the minimum privileges needed to complete their tasks,Minimizing the number of privileges in a system,Prioritizing low-privilege users,B,Single Choice
25,Basic,"What is Defense in Depth""?""",Defense deep into enemy territory,A strategy of using multiple layers of security controls to protect a system,Defense of underground facilities,Deep analysis of defense strategies,B,Single Choice
26,Basic,Which of these are common security vulnerabilities in smart contracts?,Reentrancy attacks,Integer overflow/underflow,Access control issues,Random number generation issues,A/B/C,Multiple Choice
27,Basic,Which of these attacks are related to blockchain transaction ordering?,Front-running,Sandwich attacks,Timestamp manipulation,MEV extraction,B/C/D,Multiple Choice
28,Basic,Which of these are methods for protecting private keys?,Using hardware wallets,Cold storage,Multisignature,Encrypted backups,A/B/D,Multiple Choice
29,Basic,Which of these are zero-knowledge proof systems?,zk-SNARKs,zk-STARKs,Bulletproofs,PLONK,B/C/D,Multiple Choice
30,Basic,Which technologies can enhance privacy in blockchain transactions?,Ring signatures,Stealth addresses,Coin mixing services,Confidential transactions,B/C,Multiple Choice
31,Basic,Which attacks might affect blockchain consensus mechanisms?,51% attacks,Long range attacks,Nothing-at-stake attacks,Sybil attacks,A/B/C,Multiple Choice
32,Basic,Which are types of cryptocurrency wallets?,Hot wallets,Cold wallets,Hardware wallets,Paper wallets,A/B/C,Multiple Choice
33,Basic,Which are forms of social engineering attacks?,Phishing attacks,Impersonation,Baiting,Authority attacks,A/B/C,Multiple Choice
34,Basic,Which are methods for smart contract security auditing?,Formal verification,Static analysis,Dynamic analysis,Fuzzing testing,A/B,Multiple Choice
35,Basic,Which are best practices for blockchain security?,Code audits,Formal verification,Bug bounty programs,Secure multi-party computation,A/B/C/D,Multiple Choice
36,Basic,Which of these are common security risks in DeFi projects?,Oracle manipulation,Flash loan attacks,Economic model vulnerabilities,Governance attacks,B/C/D,Multiple Choice
37,Basic,Which of these are access control mechanisms in smart contracts?,Modifiers,Role assignments,Multisignature,Time locks,A/B,Multiple Choice
38,Basic,Which of these are challenges for blockchain privacy protection?,Transaction transparency,Permanence of on-chain data,Regulatory compliance,Computational efficiency,B/C,Multiple Choice
39,Basic,Which of these are time-related vulnerabilities in smart contracts?,Timestamp dependence,Block time manipulation,Time lock bypass,Execution time differences,A/C/D,Multiple Choice
40,Basic,Which of these are security threats faced by blockchain domain name systems?,Typosquatting,DNS hijacking,Domain name squatting,Domain expiry hijacking,B/C/D,Multiple Choice
41,Basic,Which of these are supply chain security risks for blockchain projects?,Dependency library vulnerabilities,Build tool tampering,Deployment script attacks,Package repository poisoning,B/C/D,Multiple Choice
42,Basic,Which of these are randomness issues in smart contracts?,Predictability of block hashes,Timestamp manipulation,Miner manipulability,Insufficient entropy sources,C/D,Multiple Choice
43,Basic,Which of these are common consequences of blockchain security incidents?,Financial losses,Reputational damage,Market volatility,Regulatory scrutiny,A/B/C/D,Multiple Choice
44,Basic,Which of these are design patterns to protect smart contracts?,Checks-Effects-Interactions pattern,Emergency stop mechanisms,Rate limiting,Pull payment pattern,A/B/D,Multiple Choice
45,Basic,Which of these are blockchain security tools?,Static analyzers,Formal verification tools,Vulnerability scanners,Monitoring systems,A/B/C,Multiple Choice
46,Basic,Which of these are blockchain privacy-enhancing technologies?,Zero-knowledge proofs,Mix networks,Homomorphic encryption,Secure multi-party computation,B/C/D,Multiple Choice
47,Basic,Which of these are considerations for blockchain identity security?,Private key management,Authentication mechanisms,Permission management,Identity recovery,A/C/D,Multiple Choice
48,Basic,Which of these are security risks for blockchain cross-chain operations?,Bridge protocol vulnerabilities,Consensus differences,Asset locking mechanisms,Cross-chain message verification,A/C,Multiple Choice
49,Basic,Which of these are considerations for blockchain storage security?,Data encryption,Access control,Data integrity,Backup strategies,A/B/C/D,Multiple Choice
50,Basic,Which of these are security threats at the blockchain network layer?,Partition attacks,Eclipse attacks,DDoS attacks,BGP hijacking,A/C,Multiple Choice
51,Basic,Which of these are key areas in blockchain security audits?,Code quality,Cryptographic implementation,Economic models,Access control,A/B/D,Multiple Choice
52,Basic,Which of these are blockchain governance security risks?,Vote manipulation,Governance parameter attacks,Proposal injection,Governance token centralization,A/B/C/D,Multiple Choice
53,Basic,Which of these are regulatory considerations for blockchain security?,Compliance requirements,Data protection regulations,Anti-money laundering rules,Cross-border legal differences,A/B/C/D,Multiple Choice
54,Basic,Which of these are correct practices for blockchain user security?,Using hardware wallets,Enabling multi-factor authentication,Regularly updating software,Verifying transaction details,A/B/C/D,Multiple Choice
55,Basic,Which of these are metrics for evaluating blockchain project security?,Audit history,Security incident response capability,Vulnerability disclosure policy,Security team strength,A/B/C/D,Multiple Choice
56,Intermediate,"What is the correct implementation sequence for the Checks-Effects-Interactions"" pattern?""",First make external calls, then update state variables, and finally check conditions,First check conditions, then update state variables, and finally make external calls,First update state variables, then check conditions, and finally make external calls,First check conditions, then make external calls, and finally update state variables,B,Single Choice
57,Intermediate,"What is the Pull Payment"" pattern?""",The contract proactively sends funds to users,Users withdraw funds themselves instead of the contract sending them proactively,Payment using credit cards,A delayed payment mechanism,B,Single Choice
58,Intermediate,"What security issues does the Pull Payment"" pattern primarily address?""",Private key leakage,Reentrancy attack and DoS attack risks,Random number generation,Transaction order dependence,B,Single Choice
59,Intermediate,"What key components are typically needed to implement the Emergency Stop"" pattern?""",Only a single stop switch,A stop switch, access control, and restricted operations,An automatic timeout mechanism,A user voting system,B,Single Choice
60,Intermediate,"What is the Rate Limiting"" pattern in smart contracts?""",Limiting contract execution speed,Limiting the amount of funds that can be withdrawn in a specific time period,Limiting user transaction frequency,Limiting contract size,B,Single Choice
61,Intermediate,What is the main advantage of UUPS compared to Transparent Proxy?,Simpler implementation,Lower gas costs and the ability to remove upgrade capability,Higher security,Better compatibility,B,Single Choice
62,Intermediate,What are the main advantages of EIP-2535?,Overcoming contract size limitations and more granular upgrades,Simpler code,Lower deployment costs,Faster execution,A,Single Choice
63,Intermediate,"What is the role of Oracles"" in blockchain security?""",Safely bringing external data onto the blockchain,Predicting future events,Verifying user identity,Accelerating transaction confirmation,A,Single Choice
64,Intermediate,"What is the main mechanism of a Flash Loan Attack""?""",Borrowing large uncollateralized loans, manipulating markets or exploiting vulnerabilities within a single transaction, then repaying the loan,Attacking Bitcoin using the Lightning Network,Rapidly creating and closing loan accounts,Disrupting blockchain nodes using flashlights,A,Single Choice
65,Intermediate,What are effective strategies to defend against flash loan attacks?,Using decentralized oracles, time locks, and price deviation checks,Prohibiting all loans,Only allowing small transactions,Increasing transaction confirmation time,A,Single Choice
66,Intermediate,"What is a Price Oracle Manipulation"" attack?""",Manipulating price data provided by oracles to exploit price differences in DeFi protocols,Changing actual commodity prices,Predicting price movements,Controlling fiat currency exchange rates,A,Single Choice
67,Intermediate,"How is a Sandwich Attack"" specifically executed?""",Placing a transaction before the target transaction to raise prices, and another transaction after the target to profit,Simultaneously attacking three different blockchains,Creating a three-layer encryption structure,Attacking three related smart contracts,A,Single Choice
68,Intermediate,"What is the role of Timelocks"" in smart contract security?""",Enforcing delays before sensitive operations execute, giving users time to discover and respond to potential issues,Limiting contract execution time,Setting contract expiration times,Synchronizing time across multiple blockchains,A,Single Choice
69,Intermediate,"What is the security advantage of Multisignature"" wallets?""",Requiring multiple private keys for authorization, preventing single points of failure and malicious actions,Faster transaction speed,Lower transaction fees,Larger storage capacity,A,Single Choice
70,Intermediate,"In multisignature implementations, what does an m-of-n"" configuration mean?""",Requiring m out of n signers to authorize a transaction,Requiring m miners to confirm n blocks,Allowing m transactions per month (n),Allowing a maximum of m users to control n wallets,A,Single Choice
71,Intermediate,"What is a Threshold Signature""?""",A cryptographic technique where multiple parties jointly generate a single signature, rather than multiple independent signatures,A highly secure signature,The minimum threshold for signature size,A signature requiring minimal computational power,A,Single Choice
72,Intermediate,What is the main advantage of threshold signatures compared to traditional multisignature?,Reduced on-chain storage and transaction costs, and improved privacy,Easier implementation,Faster signature generation,Wider wallet support,A,Single Choice
73,Intermediate,"What is the main challenge of On-chain Randomness""?""",Blockchain environments are inherently deterministic, and miners can potentially manipulate values that appear random,The computational cost of generating truly random numbers,Limited range of random numbers,Users not trusting random results,A,Single Choice
74,Intermediate,"What is a Verifiable Random Function"" (VRF)?""",A cryptographic function that generates random outputs with a proof that can be verified to confirm correct generation,A random number generator that can be verified by anyone,A tool to verify other random functions,A function that randomly verifies user identity,A,Single Choice
75,Intermediate,"What is the application of Commitment Schemes"" in blockchain security?""",Allowing users to first submit a hidden version of data (commitment) and reveal it later, used to prevent front-running and other attacks,Users committing to long-term service usage,Long-term maintenance commitment for smart contracts,Developers' financial commitment to a project,A,Single Choice
76,Intermediate,"What are the three key properties of a Zero-Knowledge Proof""?""",Completeness, soundness, and zero-knowledge,Speed, cost, and scalability,Transparency, privacy, and efficiency,Decentralization, immutability, and anonymity,A,Single Choice
77,Intermediate,What is the main difference between zk-SNARKs and zk-STARKs?,zk-STARKs don't require trusted setup, are quantum-resistant, but have larger proof sizes,They're just different names for the same technology,zk-SNARKs are newer and completely replace zk-STARKs,zk-STARKs are for storage only, zk-SNARKs are for computation only,A,Single Choice
78,Intermediate,"What does Trusted Setup"" mean in the context of zero-knowledge proofs?""",A set of trusted hardware devices,A system initialization phase where public parameters are generated, which could compromise system security if participants are dishonest,A set of pre-verified smart contracts,A setup process certified by the government,B,Single Choice
79,Intermediate,"What is a Mixnet""?""",A mix of different network protocols,A network that routes messages through multiple nodes, each shuffling order and removing identifying information, providing anonymous communication,A network combining centralized and decentralized characteristics,A network connecting multiple blockchains,B,Single Choice
80,Intermediate,"What is the core security feature of Ring Signatures""?""",Signatures have a ring shape,The verifier knows the signature came from a group of possible signers but cannot determine exactly who,Multiple users must sign together,Signatures can be used cyclically,B,Single Choice
81,Intermediate,"How do Stealth Addresses"" work?""",Addresses written in invisible ink,Senders generate one-time addresses for each transaction, which only the recipient can identify and spend using their private key,Addresses not visible in blockchain explorers,Wallet addresses created using a VPN,B,Single Choice
82,Intermediate,"What is the core technology behind Confidential Transactions""?""",End-to-end encryption,Using homomorphic encryption or commitment schemes to hide transaction amounts while maintaining verifiability,Transactions conducted through private channels,Transactions visible only to specific users,B,Single Choice
83,Intermediate,"What are Bulletproofs""?""",Bulletproof smart contracts,A non-interactive zero-knowledge proof system for proving that values lie in a specific range, without requiring a trusted setup,A protocol resistant to attacks,A high-speed transaction verification system,B,Single Choice
84,Intermediate,What is the main application of Bulletproofs?,Formal verification of smart contracts,Range proofs in confidential transactions, proving that transaction amounts are positive without revealing the specific amounts,Preventing 51% attacks,Accelerating block confirmations,B,Single Choice
85,Intermediate,"What is the core principle of Secure Multi-party Computation"" (MPC)?""",Multiple computers processing in parallel to improve security,Multiple parties jointly computing a function while keeping their inputs private from each other,Distributing computation across multiple blockchains,Using multiple encryption algorithms to enhance security,B,Single Choice
86,Intermediate,What are the main applications of MPC in blockchain?,Used only for mining,Private key management, privacy-preserving transactions, and decentralized oracles,Used only for identity verification,Used only for smart contract execution,B,Single Choice
87,Intermediate,"What is Homomorphic Encryption""?""",Encryption where all data uses the same key,Encryption that allows computation on encrypted data, yielding encrypted results that, when decrypted, match the result of operations on the plaintext,Encryption done at home,Encryption that preserves shape,B,Single Choice
88,Intermediate,What is the main application of homomorphic encryption in blockchain privacy protection?,Used only for storing encrypted data,Allowing computation and verification on encrypted data without revealing the original data,Used only for user authentication,Used only for encrypted communication,B,Single Choice
89,Intermediate,"What is Differential Privacy""?""",Different levels of privacy settings,Adding precisely calibrated noise to datasets so individual data cannot be identified while overall statistical properties are preserved,Privacy differences between two systems,Different privacy treatment for different users,B,Single Choice
90,Intermediate,What are the potential applications of differential privacy in blockchain?,Used only to protect miner identity,Protecting user privacy in on-chain data analytics, smart contract inputs, and voting systems,Used only to hide transaction amounts,Used only for developer anonymity,B,Single Choice
91,Intermediate,"What is a Trusted Execution Environment"" (TEE)?""",A trusted development team,A hardware-isolated execution environment that protects the confidentiality and integrity of code and data,Code that has undergone security audit,An environment executed on trusted servers,B,Single Choice
92,Intermediate,What are the applications of TEE in blockchain privacy protection?,Used only for secure mining,Protecting sensitive computations, private key management, and privacy-preserving smart contracts,Used only for node identity verification,Used only for secure storage,B,Single Choice
93,Intermediate,"What is Intel SGX"" (Software Guard Extensions)?""",Intel's graphics processing technology,"A TEE implementation that creates protected memory regions called enclaves""",Intel's software licensing system,A programming language extension,B,Single Choice
94,Intermediate,"What is ARM TrustZone""?""",A gaming mode for ARM processors,A TEE implementation for ARM architecture that provides separation between secure and non-secure worlds of operation,A trust rating system for ARM,Geographic location restrictions for ARM processors,B,Single Choice
95,Intermediate,"What is Private Set Intersection""?""",A collection of private collectibles,A cryptographic protocol that allows multiple parties to find common data elements without revealing other elements,A collection of private blockchains,A set of private keys,B,Single Choice
96,Intermediate,What are the application scenarios for private set intersection in blockchain?,Used only for private blockchains,Privacy-preserving authentication, matching systems, and data sharing,Used only for storing private data,Used only for creating private channels,B,Single Choice
97,Intermediate,"What is Formal Verification""?""",An official certification process,A technique using mathematical methods to prove that program behavior conforms to specifications,A standardized testing process,A code review conducted by professional auditors,B,Single Choice
98,Intermediate,Why is formal verification important in smart contract security?,Only to meet regulatory requirements,Mathematically proving that contract behavior matches expectations, finding vulnerabilities that traditional testing might miss,Only to improve code readability,Only for documentation purposes,B,Single Choice
99,Intermediate,"What is the role of Static Analysis"" tools in smart contract security?""",Analyzing static web pages,Analyzing source code to identify potential vulnerabilities and issues without executing the code,Only analyzing unchanging parts of the code,Analyzing static data after contract deployment,B,Single Choice
100,Intermediate,"What is Symbolic Execution""?""",Executing programs using special symbols,Analyzing programs with symbolic rather than concrete values to explore all possible execution paths,Executing code that contains mathematical symbols,A programming language,B,Single Choice
101,Intermediate,"Which of these are key components of the Checks-Effects-Interactions"" pattern?""",First verify all preconditions,Then update contract state,Finally make external calls,Ensure state updates occur before external calls,A/B/C/D,Multiple Choice
102,Intermediate,"What are the benefits of the Pull Payment"" pattern?""",Preventing reentrancy attacks,Reducing DoS attack risks,Shifting gas costs to recipients,Avoiding transaction rollbacks due to failed external calls,A/D,Multiple Choice
103,Intermediate,"Which are key components for implementing the Emergency Stop"" pattern?""",Trigger mechanism,Access control,Functionality restriction logic,Recovery mechanism,A/B,Multiple Choice
104,Intermediate,What security challenges does the Proxy Pattern face?,Storage collisions,Function selector clashes,Initialization issues,Upgrade permission management,A/B,Multiple Choice
105,Intermediate,What are best practices for oracle security?,Using decentralized oracle networks,Implementing data validation and anomaly detection,Using multiple independent data sources,Implementing time delay mechanisms,A/C,Multiple Choice
106,Intermediate,What strategies can defend against flash loan attacks?,Using decentralized oracles,Implementing price deviation checks,Adding time locks,Limiting transaction sizes within a single block,B/C/D,Multiple Choice
107,Intermediate,What security considerations apply to multisignature wallets?,Number of signers and threshold settings,Key management and backup,Signer authentication,Emergency recovery mechanisms,A/B/C/D,Multiple Choice
108,Intermediate,Which are secure sources of on-chain randomness?,Verifiable Random Functions (VRF),Random numbers generated through multi-party computation,Off-chain randomness with on-chain verification,Combinations of multiple entropy sources,A/B,Multiple Choice
109,Intermediate,What are application scenarios for zero-knowledge proof systems?,Privacy-preserving transactions,Anonymous authentication,Confidential smart contracts,Verifiable computation,A/B/C/D,Multiple Choice
110,Intermediate,Which are characteristics of homomorphic encryption?,Supporting addition operations on encrypted data,Supporting multiplication operations on encrypted data,Maintaining data confidentiality,Allowing verification of correct computation results,B/D,Multiple Choice
111,Intermediate,What security features does a Trusted Execution Environment (TEE) provide?,Code integrity,Data confidentiality,Isolated execution,Remote attestation,A/C/D,Multiple Choice
112,Intermediate,Which are methods of formal verification?,Model checking,Theorem proving,Abstract interpretation,Type checking,B/C/D,Multiple Choice
113,Intermediate,What common issues do smart contract static analysis tools check for?,Reentrancy vulnerabilities,Integer overflow/underflow,Unchecked external calls,Access control issues,B/D,Multiple Choice
114,Intermediate,What are challenges in symbolic execution?,Path explosion problem,Complex constraint solving,External environment modeling,Handling loops and recursion,A/C,Multiple Choice
115,Intermediate,What are the layers of blockchain privacy protection?,Network layer privacy,Transaction layer privacy,Contract layer privacy,Identity layer privacy,A/B/D,Multiple Choice
116,Intermediate,What privacy-enhancing techniques are used in coin mixing services?,Zero-knowledge proofs,Unlinking techniques,Time delays,Multiple mixing rounds,A/B/D,Multiple Choice
117,Intermediate,What are application scenarios for secure multi-party computation?,Privacy-preserving data analysis,Key management,Blind auctions,Privacy-preserving voting,A/B,Multiple Choice
118,Intermediate,What are key parameters in differential privacy?,Privacy budget (ε),Failure probability (δ),Sensitivity,Noise distribution,B/D,Multiple Choice
119,Intermediate,What are considerations for balancing blockchain privacy with regulatory compliance?,Selective disclosure,Compliance proofs,Regulatory sandboxes,Privacy-preserving KYC/AML,A/B/C/D,Multiple Choice
120,Intermediate,What metrics can evaluate the effectiveness of smart contract security tools?,Vulnerability detection rate,False positive rate,Analysis speed,Scalability,A/B/C,Multiple Choice
121,Advanced,"What is MEV-Boost"" and how does it affect Ethereum security?""",A tool to improve MEV extraction efficiency,A middleware separating block building from block proposing, designed to reduce the negative impacts of MEV on the network,A software to enhance miner rewards,A protocol to increase transaction speed,B,Single Choice
122,Advanced,In Ethereum's post-merge PBS (Proposer-Builder Separation) architecture, which role is responsible for ordering transactions?,Validators,Proposers,Builders,Relayers,C,Single Choice
123,Advanced,"What is the main goal of the Flashbots"" project?""",Creating faster flash loan services,Mitigating negative MEV impacts on the network, making it more transparent and fair,Developing a faster blockchain,Providing flash storage solutions,B,Single Choice
124,Advanced,"What is a Time-Weighted Automated Market Maker"" (TWAMM)?""",A time-based trading strategy,A DEX mechanism allowing large orders to execute over longer periods, reducing price impact and MEV risks,A metric for measuring market liquidity,A time-locked token issuance mechanism,B,Single Choice
125,Advanced,"What is Intent-centric Architecture""?""",A user interface designed around user intentions,A system where users express transaction intents rather than specific execution paths, with specialized solvers finding optimal execution,A smart contract design pattern,A blockchain governance model,B,Single Choice
126,Advanced,"What is an Order Flow Auction""?""",A process for auctioning NFTs,A system where user transaction intents are sent to multiple solvers who bid for execution rights,A mechanism for auctioning block space,An ICO model,B,Single Choice
127,Advanced,"What is Account Abstraction""?""",Simplifying account creation process,A technology allowing smart contracts to serve as accounts with custom signature verification and transaction logic,A method to hide account details,An account aggregation technique,B,Single Choice
128,Advanced,How does account abstraction enhance blockchain security?,By increasing transaction complexity,By limiting transaction frequency,By reducing the number of accounts,By supporting social recovery, multi-factor authentication, and custom security policies,D,Single Choice
129,Advanced,"What is a ZK-EVM""?""",A special implementation of Ethereum Virtual Machine,An algorithm to verify miner work,A programming language designed for zero-knowledge applications,A system using zero-knowledge proofs to verify EVM execution, used for Layer 2 scaling and privacy protection,D,Single Choice
130,Advanced,What is the main technical challenge of ZK-EVMs?,Low user adoption,High hardware requirements,Lack of development tools,Efficiently and completely translating complex EVM operations into zero-knowledge circuits,D,Single Choice
131,Advanced,"What are Recursive Zero-Knowledge Proofs""?""",A technique of using the same proof repeatedly,A special type of ring signature,Proofs generated using recursive algorithms,Proofs that can verify the validity of other proofs, enabling accumulated verification and extended proving capabilities,D,Single Choice
132,Advanced,What is the main advantage of recursive zero-knowledge proofs?,Simpler implementation,Better compatibility,Lower computational requirements,Enabling scalable verification and aggregating multiple proofs, reducing verification costs,D,Single Choice
133,Advanced,"What is PLONK""?""",A blockchain game,A token standard,A consensus algorithm,A general and efficient zero-knowledge proof system supporting updateable universal reference strings,D,Single Choice
134,Advanced,What is the main advantage of PLONK compared to earlier zero-knowledge proof systems?,Just an easier to remember name,Only suitable for specific applications,Completely eliminates the need for trusted setup,Universality, updateable setup, and more efficient proof generation,D,Single Choice
135,Advanced,"What are Halo"" and ""Halo 2""?""",Popular video game series,A consensus algorithm,A cryptocurrency wallet,Zero-knowledge proof systems requiring no trusted setup, using recursive proof composition techniques,D,Single Choice
136,Advanced,"What is the Nova"" zero-knowledge proof system?""",A new cryptocurrency,A smart contract framework,A blockchain explorer,A recursive SNARK system that significantly improves recursive proof efficiency,D,Single Choice
137,Advanced,"What is Groth16""?""",A programming language,A key management system,A consensus algorithm,A highly efficient zero-knowledge proof system requiring circuit-specific trusted setup,D,Single Choice
138,Advanced,"What is Supersonic""?""",A high-speed transmission protocol,A high-speed blockchain,An audio processing technology,A transparent (no trusted setup), post-quantum secure zero-knowledge proof system,D,Single Choice
139,Advanced,"What is Marlin""?""",A marine creature,A blockchain programming language,A consensus algorithm,A universal zero-knowledge proof preprocessing architecture that improves proving efficiency,D,Single Choice
140,Advanced,"What is the Fractal"" zero-knowledge proof system?""",A cryptographic algorithm based on fractals,A sharded blockchain architecture,A graphics processing technology,A scalable zero-knowledge proof system using recursive proofs,D,Single Choice
141,Advanced,"What are Verkle Trees""?""",A fictional data structure,A blockchain indexing method,A special kind of binary tree,A Merkle tree variant using vector commitments that significantly reduces proof size,D,Single Choice
142,Advanced,What is the main advantage of Verkle Trees compared to traditional Merkle Trees?,Easier implementation,Better security,Faster processing,Dramatically reduced proof size, improving scalability,D,Single Choice
143,Advanced,"What is a Vector Commitment""?""",A team collaboration commitment,A multisignature technique,An investment strategy,A cryptographic primitive allowing commitment to a vector with efficient proofs for specific positions,D,Single Choice
144,Advanced,"What is a KZG Commitment""?""",An intellectual property protocol,A blockchain governance model,A key generation algorithm,A polynomial commitment scheme allowing proofs of polynomial values at specific points,D,Single Choice
145,Advanced,"What is IVC"" (Incrementally Verifiable Computation)?""",A method for calculating value-added tax,A smart contract optimization technique,An identity verification protocol,A computational model allowing step-by-step verification of long-running computations, typically using recursive proofs,D,Single Choice
146,Advanced,"What is Fully Homomorphic Encryption"" (FHE)?""",Encryption using the same key for all data,A blockchain consensus mechanism,A technique for homogenizing data,An encryption technique allowing arbitrary computations on encrypted data without decryption,D,Single Choice
147,Advanced,What are the potential applications of fully homomorphic encryption in blockchain?,Used only for encrypted storage,Used only for identity verification,Used only for secure communication,Privacy-preserving smart contracts, confidential transactions, and protected on-chain data,D,Single Choice
148,Advanced,"What is Lattice-based Cryptography""?""",Encryption using grid structures,Encryption based on lattice structures,A technique for encrypting network communications,Cryptography based on hard problems in lattices (like shortest vector problem), considered quantum-resistant,D,Single Choice
149,Advanced,Why is lattice-based cryptography important for blockchain security?,Only provides faster encryption,Only for specific applications,Only reduces computational cost,Provides quantum-resistant cryptographic primitives, protecting blockchains against future quantum computing threats,D,Single Choice
150,Advanced,"What is Post-Quantum Cryptography""?""",Cryptography using quantum computers,Cryptographic systems that can resist attacks from quantum computers,Encryption technology after quantum computing,A theoretical cryptographic concept,B,Single Choice
151,Advanced,"What is a Threshold Signature Scheme""?""",A signature requiring minimal computational power,A cryptographic scheme requiring at least t participants (out of n) to cooperate in generating a signature,A scheme setting a minimum size for signatures,A system limiting the number of signatures,B,Single Choice
152,Advanced,"What is a Blind Signature""?""",A signature created by a blind person,A cryptographic scheme allowing a signer to sign a message without seeing its content,An invisible signature,An anonymous signature method,B,Single Choice
153,Advanced,What are the applications of blind signatures in blockchain privacy protection?,Used only for anonymous voting,Privacy-preserving transactions, anonymous credentials, and censorship-resistant systems,Used only for document signing,Used only for identity verification,B,Single Choice
154,Advanced,"What is an Adaptive Chosen-Ciphertext Attack"" (CCA2)?""",A method for choosing the best ciphers,An attack where the adversary can get decryptions of arbitrarily chosen ciphertexts and adapt subsequent queries based on previous results,A technique for automatically adjusting encryption strength,A statistical analysis of cipher text,B,Single Choice
