No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
128,Advanced,What does meta-governance capture refer to?,Controlling the governance rules of multiple DAOs,Influencing multiple DAOs by controlling the underlying protocol or governance tools,Capturing meta-governance data,Government takeover of DAO governance,B,Single Choice
129,Advanced,What is the core innovation of liquid democracy?,Voting on water,Dynamic adjustment of voting weights,Combining direct democracy and representative democracy with transferable delegation and real-time revocation,Using liquid assets for voting,C,Single Choice
130,Advanced,What is the main advantage of quadratic funding in DAO resource allocation?,Simplifying the calculation process,Prioritizing widely supported projects rather than just those backed by wealthy supporters,Reducing the total funding required,Completely eliminating Sybil attacks,B,Single Choice
131,Advanced,"What relationship exists between trust minimization and ""efficiency""?""",Always positively correlated,Often a trade-off where higher trust minimization tends to reduce efficiency,No relationship,Always negatively correlated,B,Single Choice
132,Advanced,What does governance attack surface refer to?,Vulnerabilities in a DAO's website,All potential vulnerabilities and attack vectors in a governance system that could be exploited,Physical office security weaknesses,Smart contract vulnerabilities only,B,Single Choice
133,Advanced,What does governance arbitrage refer to?,Trading governance tokens on different exchanges,Profiting from governance differences between different DAOs,Finding pricing errors in proposal voting,Creating the same DAO on different blockchains,B,Single Choice
134,Advanced,What does the governance layers concept refer to?,DAO organizational hierarchy,Breaking governance into different abstraction layers each with different decision scopes and timeframes,Governance document classification system,Governance interface design elements,B,Single Choice
135,Advanced,What does governance fractals refer to?,Voting using fractal images,Recursive structures with similar governance patterns repeating at different scales and levels,Splitting governance tokens,Complex voting algorithms,B,Single Choice
136,Advanced,What does governance gamification refer to?,Turning governance into a video game,Applying game elements and mechanics to DAO governance to increase engagement and quality,Using game theory to analyze governance,Implementing DAOs in games,B,Single Choice
137,Advanced,What does governance resilience refer to?,The ability of governance systems to recover from stress,The ability of governance systems to maintain function in the face of attacks, participation fluctuations, and external shocks,Flexible governance rules,Governance token price stability,B,Single Choice
138,Advanced,What does governance formalism refer to?,Overly complex governance rules,Using formal methods and specifications to precisely define and verify governance systems,Enforcing traditional governance forms,Standard format for governance documents,B,Single Choice
139,Advanced,What does the governance composability crisis refer to?,Governance tool compatibility issues,Coordination problems that arise when multiple protocols depend on each other but have different governance systems,Inability to create new governance components,Governance interface design failure,B,Single Choice
140,Advanced,What does the governance reservoir concept refer to?,Wallet for storing governance tokens,A system for accumulating unused governance rights,Social capital and trust accumulated over time that helps a DAO remain cohesive during crises,Governance data backup system,C,Single Choice
141,Advanced,What does governance inflation refer to?,Increase in governance token supply,Increase in proposal quantity leading to decreased decision quality and diluted participation,Rising governance costs,Increasing governance document length,B,Single Choice
142,Advanced,What does governance singularity refer to?,Single entity controlling all governance decisions,Governance systems becoming so complex they cannot be understood,The theoretical point where governance systems become sufficiently intelligent to self-improve and self-manage,All DAOs merging into one,C,Single Choice
143,Advanced,What does governance debt refer to?,Funds a DAO owes to external entities,Accumulated governance problems, delayed decisions, and suboptimal structures that increase complexity and costs over time,Unpaid rewards to governance participants,Initial cost of creating a DAO,B,Single Choice
144,Advanced,What is the importance of the right to fork in governance?,Allowing replication of governance code,Being an exit mechanism that provides a final safeguard for minorities and limits majority power,Allowing creation of multiple proposal versions,Simplifying governance interfaces,B,Single Choice
145,Advanced,What does governance nihilism refer to?,Philosophy that all governance is ineffective,A skeptical stance toward complex governance systems favoring minimalism and automation,Refusing to participate in any governance,Creating deliberately failing governance systems,B,Single Choice
146,Advanced,What does governance overlay refer to?,Visual elements of governance interfaces,Governance layer added on top of existing protocols or systems without modifying underlying code,Governance conflicts between multiple DAOs,Graphical representation of governance documents,B,Single Choice
147,Advanced,What does governance capture resistance refer to?,Security measures to prevent hacking,The ability of a system to resist a single entity or group gaining disproportionate control,Legal protections against government intervention,Prevention of governance token price manipulation,B,Single Choice
148,Advanced,What does governance provability refer to?,Ability to prove governance decisions are correct,Methods to verify voting results,Certificates proving participation in governance,Ability to formally verify properties and behaviors of governance systems,D,Single Choice
149,Advanced,"What is the Governance Composability Trilemma?""",The challenge of balancing three competing objectives in governance,A governance system requiring three signers,A choice between three different governance models,A theory claiming autonomy, composability, and coordination cannot be simultaneously achieved,D,Single Choice
150,Advanced,"What is the Governance Locality principle?""",Only conducting governance in specific geographic locations,Storing governance data on local devices,Limiting governance to specific blockchains,Decisions should be made by those closest to being affected, not centralized,D,Single Choice
151,Advanced,"What is the main challenge of Governance Scalability?""",Technical limitations for processing large numbers of votes,Increasing governance token supply,Scaling governance interfaces for different screen sizes,Increasing coordination costs and decreasing decision quality as participants and decisions increase,D,Single Choice
152,Advanced,"What is Governance Formal Verification?""",Checking governance document formats,Official recognition of governance structures,Verifying identity of governance participants,Using mathematical methods to prove governance systems satisfy specific properties and security guarantees,D,Single Choice
153,Advanced,"What is Governance Abstraction?""",Making governance rules vague,Reducing governance details,Simplifying governance interfaces,Separating governance functions into reusable, interchangeable modules and interfaces,D,Single Choice
154,Advanced,"What is Governance Interoperability?""",Ability to access governance systems on different devices,Ability to translate governance documents,Ability to replicate governance decisions across different blockchains,Ability for different DAO governance systems to communicate, coordinate, and integrate with each other,D,Single Choice
155,Advanced,"What are key considerations for Governance Upgradeability?""",Software compatibility only,Cost considerations only,User interface improvements only,Balancing adaptability with stability, secure upgrade paths, and power distribution,D,Single Choice
156,Advanced,"What is Governance Morphology?""",Physical form of governance documents,Shape of governance tokens,Visual design of governance interfaces,Study of different governance structures, how they evolve, and their comparative characteristics,D,Single Choice
157,Advanced,"What is Governance Homomorphism?""",All DAOs using the same governance,Simplification of governance rules,Visual representation of governance systems,Ability to map one governance system to another while preserving key properties and relationships,D,Single Choice
158,Advanced,"What is Governance Antifragility?""",Measures to prevent governance collapse,Property of governance systems to benefit from and grow stronger through stress, attacks, and failures,Robust governance structures,Prevention of governance token price volatility,B,Single Choice
159,Advanced,"What is Governance Entropy?""",Energy efficiency of governance systems,Tendency of governance systems to trend toward disorder and reduced efficiency over time,Randomness in governance decisions,Enthusiasm for governance participation,B,Single Choice
160,Advanced,"What is the Governance Design Space?""",Physical location for holding governance meetings,Multi-dimensional space of all possible governance configurations including mechanisms, parameters, and architectural choices,Layout of governance interfaces,Server for storing governance documents,B,Single Choice
161,Advanced,What are key technologies for designing censorship-resistant DAO governance systems?,Zero-knowledge proofs,Decentralized storage (like IPFS),Decentralized identity systems,Threshold signature schemes,A/C/D,Multiple Choice
162,Advanced,Through what means can governance extraction occur?,Manipulation of protocol fee allocation,Self-dealing,Information asymmetry exploitation,Strategic proposal timing,C/D,Multiple Choice
163,Advanced,What layers might the governance stack include?,Protocol layer governance,Application layer governance,Meta-governance (governance about governance),Social layer governance,B/D,Multiple Choice
164,Advanced,What advantages does composable governance offer?,Enabling governance innovation and experimentation,Promoting specialization and modularity,Improving governance efficiency,Enhancing adaptability,A/D,Multiple Choice
165,Advanced,What forms might governance markets take?,Vote delegation markets,Governance prediction markets,Governance token lending markets,Governance service markets,A/D,Multiple Choice
166,Advanced,Through what means can meta-governance capture be achieved?,Controlling underlying protocol governance,Dominating governance tool development,Influencing governance standard-setting,Controlling multiple key DAOs,A/C/D,Multiple Choice
167,Advanced,What challenges does liquid democracy face?,Complexity of delegation chains,Delegate accountability and oversight,Potential power concentration,Technical implementation complexity,A/B/D,Multiple Choice
168,Advanced,What limitations does quadratic funding have?,Vulnerability to Sybil attacks,Identity verification requirements,Computational complexity,Potential coordination games,B/C/D,Multiple Choice
169,Advanced,What aspects might a governance attack surface include?,Voting mechanism vulnerabilities,Timelock and multi-signature design flaws,Oracle manipulation,Social engineering attacks,B/C,Multiple Choice
170,Advanced,What distinguishing factors might governance layers be designed around?,Decision time horizons (short vs. long-term),Decision impact scope (technical vs. strategic),Types of expertise required,Levels of risk and irreversibility,B/C,Multiple Choice
171,Advanced,What elements might governance gamification include?,Achievement and badge systems,Reputation and leaderboards,Quests and challenges,Skill progression and specialization paths,B/C/D,Multiple Choice
172,Advanced,What characteristics does governance resilience have?,Redundant decision paths,Adaptive mechanisms,Fail-safe defaults,Distributed power structures,A/B/C,Multiple Choice 
173,Advanced,Which governance mechanism was specifically introduced by Arbitrum DAO in 2024 to prevent flash loan attacks while maintaining decentralization?,Snapshot voting with 7-day delay,Commit-reveal voting with timelock,ARB staking with voting power delegation,Quadratic voting with reputation weighting,C,No
174,Advanced,Select all attack vectors that specifically exploit DAO governance mechanisms according to 2024 security research.,Time-bandit attacks involving blockchain state manipulation,Governance poisoning through proposal flooding,Low participation attacks during off-peak voting periods,Cross-chain message replay attacks,"A, B, C",Yes
175,Advanced,What was the primary innovation in MakerDAO's Endgame Plan that distinguishes it from traditional DAO governance models?,Implementation of SubDAO architecture with specialized governance,Migration to Layer 2 for gas efficiency,Introduction of algorithmic governance without human intervention,Adoption of proof-of-stake consensus for governance,A,No
176,Advanced,Which factors contributed to Optimism Collective's treasury reaching $8 billion by March 2024?,Superchain revenue sharing from multiple L2 deployments,Retroactive public goods funding appreciation,OP token price appreciation and ecosystem growth,Cross-chain bridge fee accumulation,"A, C",Yes
177,Advanced,"According to a16z's 2025 governance trends, what is the primary challenge with AI delegation in DAO governance?",Technical complexity of implementing AI voting algorithms,Presenting delegate information without further centralizing power,Ensuring AI agents understand complex proposal nuances,Preventing AI agents from being manipulated by bad actors,B,No
178,Advanced,Select all mechanisms that Uniswap DAO implemented in 2024-2025 to address governance participation issues.,Treasury delegation program worth $113 million,Mandatory voting requirements for UNI holders,$165 million funding plan for ecosystem growth,Integration with Tally for 75% of proposal creation,"A, C, D",Yes
179,Advanced,What distinguishes sortition-based governance from traditional token-weighted voting in DAO systems?,Random selection of participants for structured policy discussions,Voting power based on historical contribution metrics,Delegation of voting rights to elected representatives,Quadratic scaling of voting power based on token holdings,A,No
180,Advanced,Which vulnerabilities are specifically associated with reputation-based DAO governance systems?,Sybil attacks through multiple identity creation,Reputation farming through coordinated activities,Historical bias favoring early contributors,Flash loan attacks on reputation tokens,"A, B, C",Yes
181,Advanced,What was the primary reason behind Arbitrum Foundation's proposal for veto power over DAO decisions in 2025?,To prevent malicious proposals from passing during low participation,To maintain regulatory compliance for the ecosystem,To enhance governance efficiency and reduce proposal spam,To protect against hostile takeover attempts,C,No
