No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
22,Basic,Which of the following is NOT a blockchain governance model?,On-chain governance,Off-chain governance,Token voting,Central decision-making,D,No
23,Basic,Which of the following is NOT a privacy coin in blockchain?,Monero,Zcash,Dash,Bitcoin,D,No
24,Basic,What is the main purpose of 'difficulty adjustment' in blockchain?,Enhancing network security,Maintaining stable block generation time,Reducing energy consumption,Improving transaction throughput,B,No
25,Basic,Which of the following is NOT a security threat to blockchain?,51% attack,Double-spending attack,Sybil attack,Distributed storage,D,No
26,Basic,What is the main purpose of 'zero-knowledge proofs' in blockchain?,Improving transaction speed,Protecting user privacy,Reducing storage requirements,Enhancing network connectivity,B,No
27,Basic,Which of the following is NOT a design goal of blockchain consensus mechanisms?,Security,Decentralization,Scalability,Centralized control,D,No
28,Basic,What is the main purpose of 'state channels' in blockchain?,Improving transaction throughput,Enhancing privacy protection,Enabling cross-chain transactions,Storing large amounts of data,A,No
29,Basic,Which of the following are core features of blockchain?,Decentralization,Immutability,Central control,Transparency,"A, B, D",Yes
30,Basic,Which of the following are application areas of blockchain?,Supply chain management,Digital identity,Central banking system,Decentralized finance,"A, B, D",Yes
31,Basic,Which of the following are Layer 2 scaling solutions for blockchain?,Sharding,State channels,New consensus mechanisms,Rollups,"B, D",Yes
32,Basic,Which of the following are major challenges faced by blockchain?,Scalability,Energy consumption,User-friendliness,Regulatory compliance,"A, B, D",Yes
33,Basic,Which of the following are security threats to blockchain?,51% attack,Distributed storage,Sybil attack,Double-spending attack,"A, C, D",Yes
34,Basic,Which of the following are blockchain privacy protection technologies?,Zero-knowledge proofs,Ring signatures,Public broadcasting,Coin mixing technology,"A, B, D",Yes
35,Basic,Which of the following are blockchain interoperability solutions?,Cross-chain technology,Centralized exchanges,Blockchain bridges,Unified standards,"A, C",Yes
36,Basic,Which of the following are blockchain scalability metrics?,Transactions per second (TPS),Number of miners,Block size,Confirmation time,"A, C, D",Yes
37,Basic,Which of the following are blockchain governance models?,On-chain governance,Central decision-making,Token voting,Forced execution,"A, C",Yes
38,Basic,Which of the following are blockchain consensus participants?,Miners,Validators,Regulators,Full nodes,"A, B, D",Yes
39,Basic,Which of the following are blockchain identity verification methods?,Public key encryption,Digital signatures,Central identity verification,Multi-signatures,"A, B, D",Yes
40,Basic,Which of the following are blockchain fork types?,Hard fork,Left fork,Soft fork,Up fork,"A, C",Yes
41,Basic,Which of the following are blockchain infrastructure development trends?,Bitcoin L2 scaling solutions,Re-staking technology,Centralized control,Modular blockchain,"A, B, D",Yes
42,Basic,Which of the following are blockchain node types?,Full nodes,Central nodes,Light nodes,Master nodes,"A, C",Yes
43,Basic,Which of the following are cryptographic foundations of blockchain?,Hash functions,Asymmetric encryption,Central authentication,Digital signatures,"A, B, D",Yes
44,Basic,Which of the following are privacy coins in blockchain?,Bitcoin,Monero,Ethereum,Zcash,"B, D",Yes
45,Basic,Which of the following are blockchain data types?,Transaction data,State data,Centralized data,Block data,"A, B, D",Yes
46,Basic,Which of the following are design goals of blockchain consensus mechanisms?,Security,Decentralization,Scalability,Centralized control,"A, B, C",Yes
47,Basic,Which of the following are main components of blockchain?,Blocks,Transactions,Servers,Consensus mechanisms,"A, B, D",Yes
48,Basic,Which of the following are characteristics of blockchain?,Traceability,Reversibility,Distributed storage,Consensus mechanism,"A, C, D",Yes
49,Basic,"Which of the following information is contained in a blockchain ""block header""?",Timestamp,Hash of the previous block,Personal information of miners,Difficulty target,"A, B, D",Yes
50,Basic,Which of the following blockchain infrastructure areas received venture capital attention in 2024?,Bitcoin Layer 2,Re-staking technology,Centralized exchanges,Developer tools,"A, B, D",Yes
51,Intermediate,Which sharding technology received more attention in 2024?,State sharding,Transaction sharding,Network sharding,Data availability sharding,D,No
52,Intermediate,What technology did Bitcoin ETFs approved in early 2024 use to provide transparency of underlying assets?,Zero-knowledge proofs,Chainlink Proof of Reserve,Centralized audits,Federated oracles,B,No
53,Intermediate,Which consensus mechanism does NOT use a voting mechanism to reach consensus?,Proof of Stake (PoS),Delegated Proof of Stake (DPoS),Proof of Work (PoW),Practical Byzantine Fault Tolerance (PBFT),C,No
54,Intermediate,How is 'cross-shard communication' primarily implemented in blockchain sharding technology?,Relay chains,Receipt proofs,Centralized servers,Network-wide broadcasting,B,No
55,Intermediate,Which of the following is NOT a characteristic of zero-knowledge proofs?,Completeness,Soundness,Zero-knowledge,Reversibility,D,No
56,Intermediate,What does 'Deterministic Finality' refer to in blockchain?,Once confirmed， transactions cannot be rolled back,The blockchain has a definite end date,Transaction processing has a definite time limit,Smart contract execution results are deterministic,A,No
57,Intermediate,What is the primary use of the 'Ordinals protocol' in the Bitcoin network?,Improving transaction speed,Creating NFTs and BRC-20 tokens on Bitcoin,Enhancing privacy protection,Enabling cross-chain transactions,B,No
58,Intermediate,What does the 'state explosion' problem primarily refer to in blockchain?,Unlimited growth of blockchain state data causing storage pressure,Sudden surge in transaction volume,Rapid increase in node count,Consensus mechanism breakdown,A,No
59,Intermediate,What is the main difference between 'Permissionless' and 'Permissioned' in blockchain?,Transaction speed,Permission requirements for network participation,Consensus mechanisms used,Programming languages supported,B,No
60,Intermediate,Which Bitcoin Layer 2 solution has received more venture capital attention?,Lightning Network,Liquid Network,RSK,Stacks,D,No
61,Intermediate,What technology do 'Light Clients' primarily rely on to verify transactions in blockchain?,Complete block downloads,Simplified Payment Verification (SPV),Centralized servers,Full node proxies,B,No
62,Intermediate,What is the main advantage of 'Stateless Clients' in blockchain?,Not needing to store complete state data,Not requiring network connections,Not needing to verify transactions,Not requiring key management,A,No
63,Intermediate,Which blockchain interoperability solution has received more attention?,Hash Time Locked Contracts (HTLC),Relay chains,IBC (Inter-Blockchain Communication Protocol),Atomic swaps,C,No
64,Intermediate,Which of the following is NOT a characteristic of 'State Channels' in blockchain?,Off-chain transactions,Instant finality,Network-wide broadcasting,Multiple interactions,C,No
65,Intermediate,What is the primary use of 'Merkle Mountain Range' in blockchain?,Efficiently verifying transactions,Improving mining efficiency,Enhancing network connections,Enabling cross-chain communications,A,No
66,Intermediate,Which of the following technologies was NOT designed to solve blockchain data storage problems?,State pruning,IPFS,Off-chain storage,Zero-knowledge proofs,D,No
67,Intermediate,What is the main function of a 'Timestamp Server' in blockchain?,Synchronizing network time,Proving data existed at a specific point in time,Adjusting block generation speed,Managing transaction queues,B,No
68,Intermediate,Which blockchain privacy technology has received more attention in terms of regulatory compliance?,Ring signatures,Confidential transactions,Zero-knowledge proofs,Coin mixing,C,No
69,Intermediate,Which of the following is NOT a variant of the 'Byzantine Fault Tolerance' (BFT) algorithm in blockchain?,PBFT (Practical Byzantine Fault Tolerance),Tendermint,HotStuff,Nakamoto consensus,D,No
70,Intermediate,What is the main purpose of 'Validator Rotation' in blockchain?,Improving transaction processing speed,Enhancing network security,Reducing energy consumption,Simplifying protocol design,B,No
71,Intermediate,Which of the following technologies was NOT designed to solve the 'frontend centralization' problem in blockchain?,Decentralized frontend hosting,IPFS hosting,ENS (Ethereum Name Service),Sharding,D,No
72,Intermediate,What does the 'Oracle Problem' primarily refer to in blockchain?,How to securely bring off-chain data onto the blockchain,How to predict the future development of blockchain,How to solve smart contract vulnerabilities,How to improve transaction throughput,A,No
73,Intermediate,Which blockchain identity solution has received more attention?,Centralized identity providers,Self-Sovereign Identity,Federated identity,Biometric identification,B,No
74,Intermediate,Which of the following is NOT an advantage of 'Off-chain Computation' in blockchain?,Improving computational efficiency,Reducing on-chain storage requirements,Enhancing privacy protection,Increasing decentralization,D,No
75,Intermediate,What is the main difference between 'Lightweight Clients' and 'Full Nodes' in blockchain?,Lightweight clients only validate block headers while full nodes validate all transactions,Lightweight clients cannot send transactions while full nodes can,Lightweight clients do not store data while full nodes do,Lightweight clients are only for queries while full nodes are for mining,A,No
76,Intermediate,Which of the following technologies was NOT designed to improve blockchain consensus efficiency?,Delegated Proof of Stake (DPoS),Practical Byzantine Fault Tolerance (PBFT),Hybrid consensus,Zero-knowledge proofs,D,No
77,Intermediate,Which technology primarily applies 'Trustless Setup' in blockchain?,Proof of Work,Proof of Stake,Zero-knowledge proofs,Sharding,C,No
78,Intermediate,Which blockchain governance model has received more attention?,Off-chain governance,On-chain governance,Hybrid governance,Representative governance,C,No
79,Intermediate,Which of the following is NOT a function of the 'State Transition Function' in blockchain?,Validating transaction validity,Updating blockchain state,Generating new blocks,Executing smart contracts,C,No
80,Intermediate,What problem does the 'Longest Chain Rule' primarily solve in blockchain?,Transaction ordering,Fork selection,Block size limitations,Transaction fee calculation,B,No
81,Intermediate,Which of the following technologies was NOT designed to solve the 'initial distribution' problem in blockchain?,Airdrop,Initial Coin Offering (ICO),Mining,Sharding,D,No
82,Intermediate,What is the main purpose of the 'Difficulty Adjustment Algorithm' in blockchain?,Controlling the rate of new coin issuance,Maintaining stable block generation time,Preventing 51% attacks,Reducing energy consumption,B,No
83,Intermediate,Which of the following are characteristics of 'Layer 2' solutions in blockchain?,Built on top of the base layer,Improving transaction throughput,Replacing base layer consensus mechanisms,Reducing transaction costs,"A, B, D",Yes
84,Intermediate,Which of the following are current development directions for blockchain infrastructure?,Focus on security and privacy， including GDPR compliance,Tokenization of physical assets,Becoming more decentralized,Making blockchain functions more complex,"A, B",Yes
85,Intermediate,Which of the following are application scenarios for 'Zero-Knowledge Proofs' in blockchain?,Privacy transactions,Identity verification,Scalability solutions (ZK Rollups),Mining optimization,"A, B, C",Yes
86,Intermediate,Which of the following are challenges of blockchain 'sharding' technology?,Cross-shard communication,Data availability,Single points of failure,Reduced security,"A, B, D",Yes
87,Intermediate,Which of the following are types of blockchain 'oracles'?,Centralized oracles,Decentralized oracles,Hybrid oracles,Automatic oracles,"A, B",Yes
88,Intermediate,Which of the following are limitations of blockchain 'state channels'?,Requiring participants to be online,Suitable for frequent interactions between specific participants,Not suitable for one-time transactions,Requiring on-chain transactions,"A, B, C",Yes
89,Intermediate,Which of the following are variants of 'Proof of Stake' (PoS) in blockchain?,Delegated Proof of Stake (DPoS),Liquid Proof of Stake (LPoS),Proof of Work (PoW),Pure Proof of Stake (Pure PoS),"A, B, D",Yes
90,Intermediate,Which of the following are characteristics of 'Byzantine Fault Tolerance' (BFT) consensus algorithms in blockchain?,High transaction throughput,Instant finality,High energy consumption,Requiring a known set of validators,"A, B, D",Yes
91,Intermediate,Which of the following are characteristics of 'Light Clients' in blockchain?,Only downloading block headers,Using Simplified Payment Verification (SPV),Verifying all transactions,Storing complete state,"A, B",Yes
92,Intermediate,Which of the following are solutions to the 'data availability' problem in blockchain?,Data availability sampling,Erasure coding,Centralized storage,Celestia,"A, B, D",Yes
93,Intermediate,Which of the following are implementation methods for 'Deterministic Finality' in blockchain?,Byzantine Fault Tolerance (BFT) consensus,Checkpoint mechanisms,Proof of Work (PoW),Longest chain rule,"A, B",Yes
94,Intermediate,Which of the following are challenges of 'cross-chain technology' in blockchain?,Atomic guarantees,Reduced security,Centralization risks,Lack of standardization,"A, B, C",Yes
95,Intermediate,Which of the following are characteristics of 'Self-Sovereign Identity' in blockchain?,User control of personal data,Decentralization,Verifiable credentials,Centralized management,"A, B, C",Yes
96,Intermediate,Which of the following are advantages of 'Stateless Clients' in blockchain?,Reduced storage requirements,Fast synchronization,Enhanced privacy,Improved transaction throughput,"A, B",Yes
97,Intermediate,Which of the following are benefits of 'Validator Rotation' in blockchain?,Preventing long-term control,Distributing power,Increasing participation opportunities,Improving transaction speed,"A, B, C",Yes
98,Intermediate,Which of the following are applications of 'Merkle Trees' in blockchain?,Transaction verification,Block header construction,Simplified Payment Verification (SPV),Mining optimization,"A, B, C",Yes
99,Intermediate,Which of the following are advantages of 'Off-chain Computation' in blockchain?,Improving computational efficiency,Reducing costs,Enhancing privacy,Increasing decentralization,"A, B, C",Yes
100,Intermediate,Which of the following are development trends in the Bitcoin network?,Layer 2 scaling solutions,Ordinals protocol,Centralized control,Abandoning Proof of Work,"A, B",Yes
101,Advanced,What innovative mechanism did EigenLayer's re-staking protocol introduce to solve validator incentive problems?,Two-layer staking structure,Dynamic penalty mechanism,Reputation scoring system,Automatic compound rewards,A,No
102,Advanced,In modular blockchain architecture， which component is responsible for ensuring data availability without processing execution?,Execution layer,Consensus layer,Data availability layer,Settlement layer,C,No
103,Advanced,What technology did Celestia introduce as a data availability layer innovation in early 2024?,Zero-knowledge proofs,Data availability sampling,Sharded execution,State channels,B,No
104,Advanced,Which attack exploits propagation delays in blockchain networks to gain unfair advantages?,Timestamp manipulation,Front-running attack,Replay attack,Eclipse attack,B,No
105,Advanced,What is the main risk of 'Trusted Setup' in zero-knowledge proof systems?,Excessively high computational complexity,If setup parameters are leaked, system security can be compromised,Verification process becomes non-transparent,Requires centralized servers,B,No
106,Advanced,What does the 'client diversity' problem in the Bitcoin network primarily focus on?,Diversity of user interfaces,Distribution of different node software implementations,Diversity of mining hardware,Diversity of transaction types,B,No
107,Advanced,Which consensus mechanism is most vulnerable to the 'Nothing at Stake' problem?,Proof of Work (PoW),Pure Proof of Stake (Pure PoS),Delegated Proof of Stake (DPoS),Practical Byzantine Fault Tolerance (PBFT),B,No
108,Advanced,What problem does the 'Adaptive Difficulty' mechanism primarily solve in blockchain networks?,Network re-synchronization after partitioning,Block time instability caused by computing power fluctuations,Changes in validator numbers,Transaction fee market,B,No
109,Advanced,Which blockchain interoperability solution implemented more efficient cross-chain verification using zero-knowledge proofs?,Cosmos IBC,Polkadot XCMP,zkBridge,Chainlink CCIP,C,No
110,Advanced,What does 'Capture Resistance' primarily refer to in blockchain governance?,Preventing 51% attacks,Preventing specific interest groups from controlling decision processes,Preventing transaction rollbacks,Preventing data leaks,B,No
111,Advanced,Which technology is most suitable for solving the 'state explosion' problem in blockchain?,Sharding,State rent,Off-chain computation,Larger blocks,B,No
112,Advanced,What did the 'Taproot' upgrade in the Bitcoin network primarily improve?,Transaction throughput,Privacy and smart contract capabilities,Mining algorithm,Network security,B,No
113,Advanced,What is the main innovation of 'Deterministic Wallets' in blockchain?,Generating multiple key pairs from a single seed,Improving transaction speed,Enhancing privacy protection,Reducing transaction fees,A,No
114,Advanced,Which attack exploits the blockchain network's memory pool (Mempool) mechanism?,Replay attack,Sybil attack,Transaction replacement attack,51% attack,C,No
115,Advanced,What is the fundamental difference between 'state channels' and 'sidechains' in blockchain?,State channels are temporary while sidechains are permanent,State channels only support payments while sidechains support smart contracts,State channels don't require trust assumptions while sidechains do,State channels use their own consensus mechanisms while sidechains rely on the main chain consensus,D,No
116,Advanced,Which blockchain scaling approach improves throughput through 'optimistic' assumptions?,ZK Rollups,Optimistic Rollups,Validium,Plasma,B,No
117,Advanced,Which type of consensus mechanism is 'Long-Range Attack' primarily targeted at?,Proof of Work (PoW),Proof of Stake (PoS),Practical Byzantine Fault Tolerance (PBFT),Delegated Proof of Stake (DPoS),B,No
118,Advanced,Which technology is most suitable for solving the 'data availability' problem in blockchain?,Erasure coding,Sharding,State channels,Zero-knowledge proofs,A,No
119,Advanced,Which blockchain architecture design improves scalability by separating execution from consensus?,Monolithic architecture,Modular architecture,Layered architecture,Microservice architecture,B,No
120,Advanced,What problem does the 'Validator Rotation' mechanism primarily solve in blockchain?,Long-term control risk,Transaction ordering,Network congestion,Storage bloat,A,No
121,Advanced,Which technology is most suitable for implementing 'Verifiable Delay Functions' (VDFs) in blockchain?,Hash functions,Asymmetric encryption,Sequential computation,Zero-knowledge proofs,C,No
122,Advanced,What is the main challenge of 'Stateless Validation' in blockchain?,Proof size,Computational complexity,Network latency,Storage requirements,A,No
123,Advanced,Which blockchain technology enhances privacy protection by introducing 'Trusted Execution Environments' (TEEs)?,Secret Network,Monero,Zcash,Dash,A,No
124,Advanced,What is the main purpose of 'Fork Choice Rules' in blockchain?,Determining which fork is the canonical chain,Creating new forks,Merging forks,Preventing forks,A,No
125,Advanced,Which technology is most suitable for solving the 'frontend centralization' problem in blockchain?,Decentralized storage (IPFS),Decentralized Name System (ENS),Sharding,State channels,A,No
126,Advanced,What is the main difference between 'Eventual Consistency' and 'Instant Finality' in blockchain?,Transaction confirmation time,Security guarantees,Network size,Energy consumption,B,No
127,Advanced,Which blockchain technology enhances security through 'Threshold Signatures'?,Multi-signatures,Distributed Key Generation,Ring signatures,Blind signatures,B,No
128,Advanced,What is the main challenge of 'Permissionless Finality' in blockchain?,Achieving deterministic finality in open networks,Reducing energy consumption,Improving transaction throughput,Simplifying protocol design,A,No
129,Advanced,Which of the following are components of modular blockchain architecture?,Execution layer,Data availability layer,Centralized control layer,Settlement layer,"A, B, D",Yes
130,Advanced,Which of the following are types of 'Zero-Knowledge Proof' systems in blockchain?,zk-SNARK,zk-STARK,zk-LARK,zk-MARK,"A, B",Yes
131,Advanced,Which of the following are solutions to the 'data availability' problem in blockchain?,Data availability sampling,Erasure coding,Centralized storage,Data availability committees,"A, B, D",Yes
132,Advanced,Which of the following are defense mechanisms against 'Long-Range Attacks' in blockchain?,Checkpoints,Weak subjectivity,Proof of Work,Centralized validation,"A, B",Yes
133,Advanced,Which of the following are challenges faced by 'Stateless Clients' in blockchain?,Proof size,Computational complexity of generating proofs,Network bandwidth requirements,Centralization risks,"A, B, C",Yes
134,Advanced,Which of the following are application scenarios for 'Verifiable Random Functions' (VRFs) in blockchain?,Validator selection,Shard assignment,Block generation,Transaction ordering,"A, B, C",Yes
135,Advanced,Which of the following are defense mechanisms against 'Front-running Attacks' in blockchain?,Commit-reveal schemes,Private transaction pools,Centralized ordering,Random delays,"A, B",Yes
136,Advanced,Which of the following are security challenges in blockchain 'cross-chain communication'?,Replay attacks,Double-spending attacks,Bridge contract vulnerabilities,Network latency,"A, B, C",Yes
137,Advanced,Which of the following are solutions to the 'state explosion' problem in blockchain?,State rent,State expiry,Centralized storage,State tree pruning,"A, B, D",Yes
138,Advanced,Which of the following are characteristics of blockchain re-staking technology today?,Improving capital efficiency,Enhancing network security,Reducing decentralization,Increasing centralization risks,"A, B",Yes
139,Advanced,Which of the following are sources of 'Deterministic Randomness' in blockchain?,Block hash,Verifiable Random Function (VRF),True random number generator,Multi-party computation,"A, B, D",Yes
140,Advanced,Which of the following are implementation methods for 'Trustless Bridges' in blockchain?,Light client verification,Zero-knowledge proofs,Centralized validators,Federated multi-signatures,"A, B",Yes 
141,Advanced,Which technical innovation distinguishes Celestia's data availability layer from traditional monolithic blockchain architectures?,Proof-of-Stake consensus with validator rotation,Separation of consensus and data availability from execution,Integration of zero-knowledge proofs for privacy,Implementation of sharding for horizontal scaling,B,No
142,Advanced,Select every security vulnerability that was exploited in the Force Bridge hack of June 2025.,Compromised private keys accessing privileged functions,Smart contract reentrancy attack,Access control bypass in protocol contracts,Oracle price manipulation,"A, C",Yes
143,Advanced,What is the primary technical reason behind Polygon's decision to deprecate zkEVM by 2026?,Lack of developer adoption and high operational costs,Security vulnerabilities in zero-knowledge circuits,Incompatibility with Ethereum's upcoming upgrades,Regulatory compliance issues with privacy features,A,No
144,Advanced,Which consensus mechanism does Idena blockchain implement to ensure human uniqueness verification?,Proof-of-Work with ASIC resistance,Proof-of-Stake with slashing conditions,Proof-of-Person with AI-resistant tests,Delegated Proof-of-Stake with voting,C,No
145,Advanced,Select every feature that Kadena's Chainweb EVM testnet (launched June 2025) provides.,Scalable Layer 1 Proof-of-Work architecture,Full Ethereum Virtual Machine compatibility,Interwoven blockchain design for parallel processing,Zero-knowledge proof integration for privacy,"A, B, C",Yes
146,Advanced,What is the approximate constant size that Mina Protocol maintains regardless of transaction volume?,11KB using recursive zk-SNARKs,22KB using recursive zk-SNARKs,44KB using zk-STARKs,88KB using Merkle tree compression,B,No
147,Advanced,Which programming languages are supported by Arbitrum Stylus for smart contract development?,Only Rust and C++,Rust and any language that compiles to WebAssembly,Solidity and Vyper exclusively,JavaScript and TypeScript only,B,No
148,Advanced,Select every component that defines Bittensor's decentralized machine learning network architecture.,TAO token rewards for model collaboration,Blockchain-based consensus for model validation,Global access with equitable reward distribution,Centralized model training with distributed inference,"A, B, C",Yes
149,Advanced,What was the estimated financial loss from the Force Bridge exploit in June 2025?,$2.1 million across ETH and BSC,$3.76 million across ETH and BSC,$5.2 million across multiple chains,$1.8 million on Ethereum only,B,No
150,Advanced,Which technical upgrade did Nervos Network CKB complete in July 2025?,Shanghai Hard Fork for smart contract optimization,Meepo Hard Fork for enhanced performance and scalability,Berlin Hard Fork for gas fee reduction,London Hard Fork for EIP-1559 implementation,B,No
151,Advanced,What is the primary framework that Oasis Network launched in July 2025 for trustless off-chain computation?,ROFL (Runtime OFfchain Logic),STARK (Scalable Transparent ARgument of Knowledge),PLONK (Permutations over Lagrange-bases for Oecumenical Noninteractive arguments of Knowledge),SNARK (Succinct Non-interactive ARgument of Knowledge),A,No
152,Advanced,Select every mechanism that can provide trustless verification of foreign-chain blocks without relying on third parties.,Merkle-proof light clients,Off-chain oracle attestations,Centralized relayer signatures,Zero-knowledge succinct proofs (zk-SNARKs),"A, D",Yes
153,Advanced,Which DePIN project focuses specifically on decentralized wireless network infrastructure?,Filecoin for distributed storage,Helium Mobile for wireless connectivity,Render Network for GPU computing,The Graph for data indexing,B,No
154,Advanced,What was the approximate Total Value Locked (TVL) that EigenLayer achieved by 2025?,$8.5 billion,$10.1 billion,$12.2 billion,$15.7 billion,C,No
155,Advanced,Select every characteristic that defines Lumerin's approach to decentralized infrastructure.,Smart contracts controlling P2P data stream access,Decentralized AI compute power allocation,DePIN and RWA tokenization support,Centralized data processing with blockchain verification,"A, B, C",Yes
156,Advanced,Which zero-knowledge proof system does Google's 2025 initiative focus on for privacy in age assurance?,zk-STARKs for transparency,Zero-Knowledge Proof technology,Bulletproofs for range verification,PLONK for universal setup,B,No
157,Advanced,What percentage of workforce reduction did Eigen Labs implement in July 2025 to focus on EigenCloud?,15%,20%,25%,30%,C,No
158,Advanced,Select every factor that contributed to Polygon zkEVM's deprecation decision.,Annual operational loss exceeding $1 million,Failure to adopt EIP-4844 blob transactions,Peak TVL of only $187 million in March 2024,Strong developer adoption and community growth,"A, B, C",Yes
159,Advanced,Which native cryptocurrency does SatoshiVM use as gas for its Bitcoin ZK Rollup Layer 2 solution?,ETH (Ethereum),BTC (Bitcoin),SAVM (SatoshiVM token),USDC (USD Coin),B,No
160,Advanced,What is the primary technical innovation that enables Matchain's AI-integrated zk-rollup architecture?,Optimistic fraud proofs with AI validation,Zero-knowledge proofs with AI-enhanced marketing tools,Proof-of-Stake consensus with machine learning,Sharded execution with AI-powered routing,B,No
161,Advanced,Select every application area where zero-knowledge proofs are being implemented in 2025.,LLM security and privacy protection,IoT and edge computing integration,Institutional trust building in finance,Traditional database optimization,"A, B, C",Yes
162,Advanced,Which consensus mechanism allows Idena blockchain nodes to act as oracles for solving the oracle problem?,Proof-of-Work with mining pools,Proof-of-Stake with validator committees,Proof-of-Person with validated human identities,Delegated Proof-of-Stake with elected representatives,C,No
163,Advanced,What was the estimated total investment that Polygon made in its zkEVM initiative before deprecation?,$150 million,$200 million,$250 million,$300 million,C,No
164,Advanced,Select every programming language integration that Arbitrum Stylus SDK v0.9 introduced.,Rust with constructor support,AssemblyScript with TypeScript compatibility,Trait-based composition with #[implements(...)],Python with WebAssembly compilation,"A, B, C",Yes
165,Advanced,Which technical approach does KardiaChain use to bridge blockchain technology with mainstream adoption?,Pure public blockchain with PoW consensus,Hybrid public-private blockchain infrastructure,Federated sidechain with multi-signature validation,Plasma-based scaling with periodic checkpoints,B,No
166,Advanced,What is the primary reason Celestia's TIA token experienced a 26% surge in July 2025?,Major partnership announcement with Ethereum Foundation,Inflation cut proposal that could take effect in Q3 2025,Launch of new data availability sampling mechanism,Integration with Bitcoin Lightning Network,B,No
167,Advanced,Select every security consideration that applies to typical cross-chain bridge architectures.,Compromised multi-signature validator keys,Forged cross-chain message proofs,Client-side replay-protection flaws,Divergent consensus rules between connected chains,"A, B, D",Yes
168,Advanced,Which WebAssembly runtime does Arbitrum Stylus use for executing smart contracts?,Wasmtime with blockchain optimizations,Wasmer with minimal blockchain-specific changes,WAMR (WebAssembly Micro Runtime),V8 WebAssembly engine,B,No
169,Advanced,What is the approximate annual percentage rate (APR) for staking MINA tokens on Mina Protocol?,8%,10%,12%,15%,C,No
170,Advanced,Select every component that defines Internet Computer's (ICP) approach to decentralized cloud computing.,Scalable cloud compute layer,Canister smart contracts with WebAssembly,Chain Key cryptography for seamless integration,Traditional virtual machine execution environment,"A, B, C",Yes
171,Advanced,Which AI-enhanced feature distinguishes Kava.io's approach to cross-chain bridges in 2025?,Machine learning for gas fee optimization,AI-enhanced security vulnerability detection,Automated liquidity rebalancing algorithms,Neural network consensus validation,B,No
172,Advanced,What is the primary technical innovation behind Theta Network's decentralized video streaming infrastructure?,Proof-of-Stake consensus with video validation,Edge computing nodes for content delivery,Blockchain-based content distribution network,Zero-knowledge proofs for content privacy,C,No
