No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
32,Basic,"What do LP Tokens"" (Liquidity Provider Tokens) represent in DeFi?""",Proof of providing liquidity,Governance rights,Stablecoins,Insurance certificates,A,No
33,Basic,Which DeFi protocol focuses on decentralized identity verification?,Civic,Uniswap,Aave,Compound,A,No
34,Basic,"What was the initial purpose of Liquidity Mining"" in DeFi?""",Attracting users to provide liquidity,Increasing token prices,Reducing transaction fees,Improving security,A,No
35,Basic,"What are the main risks of Yield Farming"" in DeFi?""",Smart contract risks, impermanent loss, and market risks,Government regulation,Power outages,Internet connectivity,A,No
36,Basic,Which of the following is a decentralized asset management protocol in DeFi?,Yearn Finance,Uniswap,Chainlink,Curve,A,No
37,Basic,Which of the following is the most popular decentralized options protocol in DeFi?,Opyn,Uniswap,Aave,Compound,A,No
38,Basic,Which DeFi protocol focuses on decentralized insurance?,Nexus Mutual,Uniswap,Aave,Compound,A,No
39,Basic,"What assets does Liquidity Mining"" typically require in DeFi?""",Two tokens in a trading pair,Only one token,Fiat currency,Physical assets,A,No
40,Basic,Which of the following are main protocol types in DeFi?,Lending protocols,Decentralized exchanges,Centralized exchanges,Asset management protocols,"A, B, D",Yes
41,Basic,Which of the following are types of stablecoins in DeFi?,Fiat-collateralized,Crypto-collateralized,Algorithmic,Central bank issued,"A, B, C",Yes
42,Basic,Which of the following are risks in DeFi?,Smart contract risks,Impermanent loss,Oracle risks,Centralized guarantees,"A, B, C",Yes
43,Basic,Which of the following are lending protocols in DeFi?,Aave,Compound,MakerDAO,Uniswap,"A, B, C",Yes
44,Basic,Which of the following are decentralized exchanges in DeFi?,Uniswap,SushiSwap,Curve,Aave,"A, B, C",Yes
45,Basic,Which of the following are asset management protocols in DeFi?,Yearn Finance,Harvest Finance,Uniswap,Aave,"A, B",Yes
46,Basic,Which of the following are derivatives protocols in DeFi?,dYdX,Synthetix,Opyn,Aave,"A, B, C",Yes
47,Basic,Which of the following are decentralized identity protocols in DeFi?,Civic,Selfkey,Uniswap,Aave,"A, B",Yes
48,Basic,Which of the following are decentralized prediction markets in DeFi?,Augur,Gnosis,Uniswap,Aave,"A, B",Yes
49,Basic,Which of the following are cross-chain bridges in DeFi?,Wormhole,Multichain,Hop Protocol,Uniswap,"A, B, C",Yes
50,Basic,Which of the following are fixed income protocols in DeFi?,Element Finance,Notional Finance,Uniswap,Aave,"A, B",Yes
51,Basic,Which of the following are decentralized options protocols in DeFi?,Opyn,Hegic,Uniswap,Aave,"A, B",Yes
52,Basic,Which of the following are current major trends in DeFi?,Tokenization of physical assets,Cross-chain interoperability,Real-time payments,Centralized control,"A, B, C",Yes
53,Basic,Which of the following are AMM models in DeFi?,Constant product,Constant sum,Weighted curves,Constant median,"A, B, C",Yes
54,Basic,Which of the following are lending models in DeFi?,Overcollateralized,Flash loans,Uncollateralized loans,Credit loans,"A, B, C",Yes
55,Basic,Which of the following are asset types in DeFi?,Stablecoins,Governance tokens,LP tokens,Physical stocks,"A, B, C",Yes
56,Basic,Which of the following are transaction types in DeFi?,Spot trading,Leveraged trading,Futures trading,Physical delivery,"A, B, C",Yes
57,Basic,Which of the following are yield representation methods in DeFi?,APY (Annual Percentage Yield),APR (Annual Percentage Rate),Fixed amount,Token quantity,"A, B",Yes
58,Basic,Which of the following are liquidity mining strategies in DeFi?,Single-asset staking,LP token staking,Lending protocol staking,Physical asset staking,"A, B, C",Yes
59,Basic,Which of the following are risk management tools in DeFi?,Insurance protocols,Risk scoring,Multi-signature wallets,Centralized custody,"A, B, C",Yes
60,Basic,Which of the following are decentralized governance methods in DeFi?,Token voting,Proposal systems,Delegated voting,Centralized decision-making,"A, B, C",Yes
61,Basic,Which of the following are effective risk control measures for DeFi flash loan mechanisms?,Multi-asset verification,Time-locked transactions,Prevention of replay attacks,Real-time monitoring and automatic interruption,"B, D",Yes
62,Basic,Which of the following are main metrics in DeFi?,Total Value Locked (TVL),Trading volume,User count,Product appearance,"A, B, C",Yes
63,Intermediate,Which mechanism is most suitable for preventing flash loan attacks in DeFi?,Using Time-Weighted Average Price (TWAP),Increasing transaction fees,Limiting transaction size,Centralized review,A,No
64,Intermediate,Which DeFi liquidity strategy has achieved higher capital efficiency?,Single-asset staking,Concentrated liquidity provision,Full-range liquidity provision,Passive holding,B,No
65,Intermediate,Which mechanism is used to balance supply and demand in DeFi lending protocols?,Interest rate models,Governance voting,Oracles,Liquidity mining,A,No
66,Intermediate,Which DeFi protocol innovation solves the cross-chain liquidity fragmentation problem?,Cross-chain AMMs,Multi-chain lending,Liquidity aggregators,All of the above,D,No
67,Intermediate,Which mechanism is most suitable for solving oracle manipulation problems in DeFi?,Time-Weighted Average Price (TWAP),Multi-source data aggregation,On-chain governance,Centralized verification,B,No
68,Intermediate,"What is the main disadvantage of Liquidity Mining"" in DeFi?""",Temporary liquidity,High gas fees,Low yields,Complex user interfaces,A,No
69,Intermediate,Which DeFi protocol innovation has improved stablecoin capital efficiency?,Overcollateralized models,Algorithmic stablecoins,Partially collateralized models,Centralized stablecoins,C,No
70,Intermediate,Which mechanism is most suitable for solving MEV (Maximal Extractable Value) problems in DeFi?,Batch auctions,Increasing transaction fees,Limiting transaction size,Centralized ordering,A,No
71,Intermediate,Which DeFi protocol innovation has reduced gas fees?,Layer 2 solutions,Centralized exchanges,Increasing block size,Reducing transaction frequency,A,No
72,Intermediate,Which mechanism is most suitable for improving capital efficiency in DeFi protocols?,Leverage,Overcollateralization,Liquidity restrictions,Centralized control,A,No
73,Intermediate,Which DeFi protocol innovation has solved the security problem of cross-chain asset transfers?,Multi-signature bridges,Light client verification,Zero-knowledge proof bridges,All of the above,D,No
74,Intermediate,Which mechanism is most suitable for solving liquidity concentration risk in DeFi?,Liquidity dispersion incentives,Centralized control,Increasing transaction fees,Limiting transaction size,A,No
75,Intermediate,"What is the main risk of Yield Strategies"" in DeFi?""",Smart contract risk,Low yields,High gas fees,Complex user interfaces,A,No
76,Intermediate,Which DeFi protocol innovation has solved the stablecoin de-pegging problem?,Multi-asset collateralization,Algorithmic stabilization mechanisms,Decentralized reserves,All of the above,D,No
77,Intermediate,"What does the sustainability of Liquidity Mining"" in DeFi primarily depend on?""",Protocol revenue,Token inflation,External investment,User growth,A,No
78,Intermediate,"What is the main advantage of Yield Aggregators"" in DeFi?""",Automated strategy optimization,Reduced gas fees,Enhanced security,Simplified user interfaces,A,No
79,Intermediate,Which DeFi protocol innovation has solved the liquidity problem of decentralized options?,Automated Market Makers,Liquidity mining,Options pools,All of the above,D,No
80,Intermediate,Which mechanism is most suitable for solving collateral efficiency problems in DeFi?,Collateral diversification,Risk tranching,Dynamic collateralization ratios,All of the above,D,No
81,Intermediate,"What is the main risk faced by Liquidity Providers"" in DeFi?""",Impermanent loss,Low yields,High gas fees,Complex user interfaces,A,No
82,Intermediate,Which mechanism is most suitable for solving liquidity exit problems in DeFi?,Liquidity locking,Exit fees,Graduated exits,All of the above,D,No
83,Intermediate,"What is the main goal of Yield Strategies"" in DeFi?""",Maximizing risk-adjusted returns,Minimizing gas fees,Maximizing transaction volume,Minimizing impermanent loss,A,No
84,Intermediate,Which mechanism is most suitable for solving liquidity depth problems in DeFi?,Concentrated liquidity,Liquidity mining,Multi-asset pools,All of the above,D,No
85,Intermediate,Which mechanism is most suitable for solving governance participation problems in DeFi?,Delegated voting,Voting incentives,Governance minimization,All of the above,D,No
86,Intermediate,"What does the long-term viability of Liquidity Mining"" in DeFi primarily depend on?""",Protocol generating real value,Token price appreciation,User growth,External investment,A,No
87,Intermediate,Which DeFi protocol innovation has solved the liquidity problem of decentralized prediction markets?,Automated Market Makers,Liquidity mining,Outcome validation incentives,All of the above,D,No
88,Intermediate,What are the systemic risk issues in algorithmic stablecoin design?,Dynamic reserve management,Multi-asset anchoring mechanisms,Real-time market feedback algorithms,External audits and transparency reporting,"A, B, D",Yes
89,Intermediate,What are the main risks of lending protocols in DeFi?,Liquidation risk,Interest rate risk,Oracle risk,Government regulation,"A, B, C",Yes
90,Intermediate,What are the main strategies for liquidity mining in DeFi?,Single-asset staking,LP token staking,Lending protocol staking,Physical asset staking,"A, B, C",Yes
91,Intermediate,What are the risk hedging strategies for synthetic asset mechanisms in DeFi?,Asset overcollateralization,Price oracle multi-source verification,Dynamic risk adjustment,Fixed rate hedging,"A, B, C",Yes
92,Intermediate,What are the risk management tools in DeFi?,Insurance protocols,Risk scoring,Multi-signature wallets,Centralized custody,"A, B, C",Yes
93,Intermediate,What are the decentralized governance methods in DeFi?,Token voting,Proposal systems,Delegated voting,Centralized decision-making,"A, B, C",Yes
94,Intermediate,What are the oracle solutions in DeFi?,Centralized oracles,Decentralized oracle networks,On-chain oracles,Physical oracles,"A, B, C",Yes
95,Intermediate,What are the incentive mechanisms for liquidity providers in DeFi?,Trading fee sharing,Token rewards,Protocol revenue sharing,Prize draws,"A, B, C",Yes
96,Intermediate,What are the yield optimization strategies in DeFi?,Leveraged yield farming,Yield curve arbitrage,Liquidity mining rotation,Centralized deposits,"A, B, C",Yes
97,Intermediate,What are the cross-chain solutions in DeFi?,Custodial bridges,Decentralized bridges,Light client verification,Centralized exchanges,"A, B, C",Yes
98,Intermediate,What are the stablecoin mechanisms in DeFi?,Fiat-collateralized,Crypto-collateralized,Algorithmic,Bank-issued,"A, B, C",Yes
99,Intermediate,What are the MEV (Maximal Extractable Value) mitigation strategies in DeFi?,Batch auctions,Timelocks,Centralized ordering,Physical isolation,"A, B",Yes
100,Intermediate,What are the asset management strategies in DeFi?,Automatic rebalancing,Risk tranching,Multi-strategy portfolios,Centralized management,"A, B, C",Yes
101,Intermediate,What are the decentralized identity solutions in DeFi?,Zero-knowledge proofs,Decentralized identifiers,Centralized verification,Physical ID cards,"A, B",Yes
102,Intermediate,What are the liquidity risks in DeFi?,Liquidity drains,Liquidity fragmentation,Liquidity concentration,Centralized control,"A, B, C",Yes
103,Intermediate,What are the key design challenges for DeFi Layer2 scaling solutions?,Security guarantees,High concurrency processing,User privacy protection,Cross-chain compatibility,"A, B, D",Yes
104,Intermediate,What are the governance risks in DeFi?,Governance attacks,Insufficient governance participation,Governance capture,Centralized control,"A, B, C",Yes
105,Intermediate,What were the main DeFi trends in Q1 2024?,Tokenization of physical assets,Cross-chain interoperability,Real-time payments,Centralized control,"A, B, C",Yes
106,Advanced,Which DeFi protocol innovation most effectively balances capital efficiency and risk management?,Tranched risk protocols,Dynamic collateralization ratios,Isolated markets,Risk pricing models,A,No
107,Advanced,"What is the main advantage of the Concentrated Liquidity"" model compared to traditional AMMs in DeFi?""",Capital efficiency improved 100-4000 times,Complete elimination of impermanent loss,Reduced gas fees,Simplified user experience,A,No
108,Advanced,Which DeFi mechanism is most suitable for solving cross-chain liquidity fragmentation?,Atomic swaps,Liquidity Layer,Centralized bridges,Unified token standards,B,No
109,Advanced,Which DeFi risk management innovation most effectively addresses flash loan attacks?,Multi-period price oracles,Transaction size limits,On-chain risk scoring,Decentralized insurance,A,No
110,Advanced,"What is the core mechanism of Yield Curve Control"" strategies in DeFi?""",Maintaining target yields through market operations,Limiting maximum yields,Guaranteeing minimum yields,Randomly allocating yields,A,No
111,Advanced,Which DeFi mechanism is most suitable for solving liquidity depth problems in decentralized derivatives markets?,Virtual AMMs (vAMM),Order book aggregation,Liquidity mining,Centralized market makers,A,No
112,Advanced,Which DeFi innovation most effectively solves the trust problem of cross-chain asset transfers?,Zero-knowledge validity proofs,Multi-signature verification,Decentralized oracles,On-chain governance,A,No
113,Advanced,"What are Liquidity Routing Optimization"" core algorithms in DeFi typically based on?""",Weighted graph search algorithms,Random forests,Neural networks,Genetic algorithms,A,No
114,Advanced,Which DeFi mechanism is most suitable for solving interest rate volatility problems in decentralized lending markets?,Interest rate swaps,Fixed-rate pools,Interest rate caps,All of the above,D,No
115,Advanced,Which DeFi innovation most effectively solves the capital efficiency problem of stablecoins?,Partially collateralized algorithmic stablecoins,Overcollateralized stablecoins,Fiat-collateralized stablecoins,Centralized stablecoins,A,No
116,Advanced,"What factors are Dynamic Risk Pricing"" models in DeFi typically based on?""",Market volatility, collateralization ratio, and protocol utilization,User reputation,Historical transaction volume,Token price,A,No
117,Advanced,Which DeFi mechanism is most suitable for solving adverse selection problems in decentralized insurance?,Risk pool stratification,Fixed premiums,Centralized review,Mandatory participation,A,No
118,Advanced,"What is the core of Yield Curve Arbitrage"" strategies in DeFi?""",Exploiting yield differences between assets of different maturities,Exploiting price differences between different assets,Exploiting security differences between different protocols,Exploiting gas fee differences between different chains,A,No
119,Advanced,Which DeFi mechanism is most suitable for solving liquidity problems in decentralized synthetic assets?,Virtual liquidity,Liquidity mining,Centralized market making,Forced liquidity provision,A,No
120,Advanced,Which DeFi innovation most effectively solves the standardization problem of cross-chain interoperability?,Cross-chain messaging protocols,Unified token standards,Centralized bridges,Multi-chain wallets,A,No
121,Advanced,"What methods do Liquidity Risk Modeling"" in DeFi typically use?""",Monte Carlo simulations,Linear regression,Decision trees,Simple averaging,A,No
122,Advanced,Which DeFi mechanism is most suitable for solving outcome validation problems in decentralized prediction markets?,Decentralized oracle networks,Multi-signatures,Centralized verification,Random validator selection,A,No
123,Advanced,Which DeFi innovation most effectively solves the legal compliance problem of tokenizing physical assets?,Compliant tokenization frameworks,Decentralized identity verification,Centralized custody,Anonymous transactions,A,No
124,Advanced,"What is the core of Liquidity Depth Optimization"" in DeFi?""",Capital allocation to minimize price impact,Increasing total liquidity,Reducing transaction fees,Simplifying user experience,A,No
125,Advanced,Which DeFi mechanism is most suitable for solving risk diversification problems in decentralized asset management?,Multi-strategy portfolios,Single-asset concentration,Centralized management,Random asset allocation,A,No
126,Advanced,"What is the core technology of Yield Strategy Automation"" in DeFi?""",Smart contract automatic execution,Manual intervention,Centralized control,Random strategy selection,A,No
127,Advanced,Which DeFi mechanism is most suitable for solving long-tail asset liquidity problems in decentralized lending markets?,Isolated markets,Risk parameter adjustments,Liquidity mining,All of the above,D,No
128,Advanced,Which DeFi innovation most effectively balances user experience and decentralization?,Account abstraction,Centralized frontends,Simplified protocols,Educational programs,A,No
129,Advanced,"What are the advantages of the Concentrated Liquidity"" (Concentrated Liquidity) model in DeFi?""",Improved liquidity capital utilization,Fine-grained pricing mechanisms to reduce slippage,Dynamic adjustment of liquidity incentives to adapt to market volatility,Support for multi-asset pool swaps to improve efficiency,"A, C, D",Yes
130,Advanced,What are the main challenges of cross-chain interoperability in DeFi?,Cross-chain asset secure transfer protocol flaws,Data consistency challenges between different chains,Cross-chain governance model divergence,Insufficient low-latency cross-chain communication technology,"B, D",Yes
131,Advanced,What are advanced risk management techniques in DeFi?,Real-time risk assessment algorithms,Blockchain-based credit derivatives,Adaptive risk mitigation mechanisms,Multi-dimensional asset correlation analysis,"A, C, D",Yes
132,Advanced,What are advanced yield optimization strategies in DeFi?,Quantitative liquidity mining strategies,Algorithm-driven automatic rebalancing systems,Combined strategies of options and leverage,Smart contract-based risk-free arbitrage mechanisms,"B, C",Yes
133,Advanced,What are the main types of MEV (Maximal Extractable Value) in DeFi?,Front-running arbitrage,Back-running transaction reordering,On-chain entropy interference attacks,Fake transaction flow injection,"A, B, D",Yes
134,Advanced,What are advanced decentralized governance mechanisms in DeFi?,Distributed consensus voting mechanisms,Tokenized reputation systems,Multi-stage decision processes on the blockchain,Zero-knowledge voting verification,"A, D",Yes
135,Advanced,What are the main challenges of tokenizing physical assets in DeFi?,Integration of cross-national legal regulations,Insufficient asset liquidity and market depth,Uncertainty in blockchain asset valuation,Difficulty in real-time asset status monitoring,"A, C, D",Yes
136,Advanced,What are advanced liquidity management techniques in DeFi?,Multi-path transaction execution optimization,Blockchain data-based liquidity prediction models,Smart contract automatic liquidity adjustment,Dynamic asset allocation and cross-pool arbitrage,"A, C",Yes
137,Advanced,What are the main types of decentralized derivatives in DeFi?,Synthetic asset-based index contracts,Perpetual swaps and volatility options,Structured derivatives and layered liquidation mechanisms,Real-time on-chain risk hedging contracts,"B, C, D",Yes
138,Advanced,What are advanced oracle solutions in DeFi?,Distributed oracle consensus mechanisms,Integration of off-chain data verification and on-chain recording,Machine learning-driven price prediction models,Self-validating data aggregation protocols,"A, C, D",Yes
139,Advanced,What were the cutting-edge DeFi innovations in Q1 2024?,Multi-chain asset interoperability enhancement modules,Zero-knowledge privacy transaction engines,Layered Layer 2 solutions and scalability technologies,Decentralized liquidity market depth exploration,"B, C",Yes
140,Advanced,What are advanced capital efficiency optimization techniques in DeFi?,High-dimensional asset risk diversification models,Smart asset refinancing and dynamic collateralization ratio,Compound leverage and distributed liquidation strategies,Multi-layer liquidity management and invisible incentives,"A, B, D",Yes 
141,Advanced,Which mechanism does EigenLayer use to enable validators to secure multiple networks simultaneously while maintaining slashing conditions?,Optimistic rollup validation with fraud proofs,Restaking with operator delegation and AVS registration,Zero-knowledge proof aggregation across chains,Liquid staking token wrapping with yield distribution,B,No
142,Advanced,Select all factors that contribute to the slashing risk in liquid restaking tokens (LRTs) compared to standard liquid staking tokens (LSTs).,Multiple AVS (Actively Validated Services) validation requirements,Cross-chain bridge security dependencies,Operator misbehavior across different protocols,Smart contract bugs in restaking middleware,"A, C, D",Yes
143,Advanced,What is the primary technical difference between Babylon Protocol's Bitcoin staking and traditional Ethereum-based liquid staking?,Uses HTLC (Hash Time Locked Contracts) for cross-chain validation,Implements EOTS (Extractable One-Time Signatures) for slashing on Bitcoin,Relies on multi-signature wallets with time-locked withdrawals,Employs wrapped Bitcoin tokens on Ethereum for staking rewards,B,No
144,Advanced,Which protocols currently dominate the liquid staking market by TVL as of July 2025?,Lido Finance with over $22 billion on Ethereum,Rocket Pool with approximately $1.6 billion,Jito Liquid Staking with $2.7 billion on Solana,Binance Staked ETH with $6.4 billion,"A, C, D",Yes
145,Advanced,"In the context of cross-chain interoperability, what is the main security risk associated with optimistic bridge designs?",Validator collusion during the challenge period,Oracle price manipulation affecting bridge rates,Fraudulent withdrawals during the dispute window,Smart contract upgrades without governance approval,C,No
146,Advanced,Which cross-chain protocols are specifically designed to enable seamless asset transfers and communication between different blockchains?,Polkadot with its parachain architecture,Cosmos using the Inter-Blockchain Communication (IBC) protocol,LayerZero for omnichain applications,Chainlink CCIP (Cross-Chain Interoperability Protocol),"A, B, C, D",Yes
147,Advanced,What is the primary benefit of account abstraction (EIP-4337) for DeFi applications?,Reduces gas fees through batch transaction processing,Enables smart contract wallets with programmable transaction logic,Provides native cross-chain transaction capabilities,Implements automatic MEV protection for all transactions,B,No
148,Advanced,Which recent development allows users to interact with multiple blockchains without manually switching networks or managing different tokens?,Chain abstraction protocols like NEAR's approach,Universal smart contract standards (ERC-6551),Automated market maker aggregation,Decentralized identity verification systems,A,No
149,Advanced,Select all MEV protection mechanisms that are currently being implemented in 2025 DeFi protocols.,Encrypted mempools to hide transaction details,Commit-reveal schemes for order submission,Threshold encryption with time-locked decryption,Private transaction pools with delayed execution,"A, B, C, D",Yes
150,Advanced,What is the key vulnerability that recent EIP-7702 exploits have targeted in flash loan attacks?,Bypassing on-chain security mechanisms through account code delegation,Manipulating oracle prices during transaction execution,Exploiting reentrancy guards in lending protocols,Circumventing multi-signature wallet confirmations,A,No
151,Advanced,What is the current market value of on-chain real-world assets (RWAs) as reported by Binance Research in 2025?,$8 billion,$12 billion,$16 billion,$20 billion,B,No
152,Advanced,Select all benefits that RWA tokenization provides to traditional asset markets.,Increased liquidity through fractional ownership,24/7 trading capabilities on decentralized exchanges,Immutable blockchain records reducing fraud risk,Automatic compliance with all international regulations,"A, B, C",Yes
153,Advanced,Which platforms are currently pioneering RWA tokenization in the DeFi space?,Ondo Finance for tokenized government bonds,Maple Finance for institutional credit,Centrifuge for real estate tokenization,MakerDAO for traditional asset collateral,"A, B",Yes
154,Advanced,"According to Boston Consulting Group's prediction, what could the tokenized asset market reach by 2030?",$8 trillion,$12 trillion,$16 trillion,$24 trillion,C,No
155,Advanced,Which traditional financial institutions are actively exploring DeFi yield farming and lending services in 2025?,JPMorgan Chase,Goldman Sachs,BlackRock,Wells Fargo,"A, B, C",Yes
156,Advanced,What regulatory framework is the European Central Bank (ECB) developing for DeFi applications?,Markets in Crypto-Assets (MiCA) compliance guidelines,Decentralized Finance Regulatory Framework (DFRF),Guidelines for regulated DeFi applications,European Digital Asset Standards (EDAS),C,No
157,Advanced,Which regulatory development is the SEC considering to expedite DeFi project approvals?,Sandbox regulatory environment for DeFi testing,Innovation exemption framework for conditional relief,Fast-track approval process for established protocols,Automatic registration for audited smart contracts,B,No
158,Advanced,What was the total amount lost to crypto hacks and exploits in the first half of 2025?,$1.8 billion,$2.1 billion,$2.4 billion,$2.7 billion,C,No
159,Advanced,Select all types of attacks that contributed to DeFi losses in 2025.,Flash loan manipulations and reentrancy attacks,Cross-chain bridge exploits,Oracle price manipulation,Social engineering attacks on protocol teams,"A, B, C, D",Yes
160,Advanced,What percentage of crypto losses in H1 2025 were attributed to protocol-level exploits such as flash loans and reentrancy?,8%,12%,16%,20%,B,No
161,Advanced,Which DeFi insurance protocols provide coverage against smart contract exploits and protocol failures?,Nexus Mutual with peer-to-peer insurance pools,InsurAce offering multi-chain coverage,Bridge Mutual for cross-chain protection,Unslashed Finance for validator insurance,"A, B",Yes
162,Advanced,What is the primary mechanism that Nexus Mutual uses to provide DeFi insurance coverage?,Traditional insurance company backing with fiat reserves,ETH pooling with premium payments and risk assessment,Cross-chain collateral locked in multi-signature wallets,Algorithmic pricing based on protocol TVL fluctuations,B,No
163,Advanced,"In the recent Resupply protocol attack, what was the core vulnerability exploited by the attacker?",Oracle price manipulation during flash loan execution,Reentrancy in the withdrawal function allowing multiple claims,Improper validation of collateral ratios in lending pools,Cross-chain message verification bypass,A,No
164,Advanced,What was the approximate loss amount in the recent GMX exchange exploit in July 2025?,$32 million,$42 million,$52 million,$62 million,B,No
165,Advanced,Select all AI-powered features that are being integrated into DeFi platforms in 2025.,Automated portfolio rebalancing based on market conditions,Real-time risk assessment and liquidation prevention,Predictive yield farming opportunity identification,Automated compliance monitoring for regulatory requirements,"A, B, C, D",Yes
166,Advanced,Which protocol uses AI to automate portfolio management in DeFi?,SingularityDAO with machine learning algorithms,Yearn Finance with automated vault strategies,Convex Finance with optimized reward distribution,Harvest Finance with yield optimization,A,No
167,Advanced,How does Fetch.ai integrate machine learning with decentralized financial applications?,Through autonomous economic agents that execute trades,By providing oracle data feeds with ML-enhanced accuracy,Using predictive models for liquidity pool optimization,Via smart contract auditing with automated vulnerability detection,A,No
168,Advanced,What role do AI agents play in the future of DeFi according to 2025 developments?,Replacing human traders in all DeFi transactions,Learning and adapting across different blockchain networks,Providing regulatory compliance automation,Eliminating the need for smart contract audits,B,No
169,Advanced,Which new DeFi protocol launched in 2025 with a focus on Bitcoin DeFi integration?,Grove Protocol with $1 billion tokenized credit strategy,Threshold Network's tBTC on Sui blockchain,VaultLayer for Bitcoin liquid staking,Babylon Protocol for native Bitcoin staking,"A, B",Yes
170,Advanced,What is the current Total Value Locked (TVL) in DeFi as of July 2025?,$98 billion,$108 billion,$116 billion,$124 billion,C,No
171,Advanced,Which blockchain has emerged as the third-largest for Real-World Assets (RWA) by TVL in 2025?,Polygon,Arbitrum,Aptos,Avalanche,C,No
172,Advanced,What is Aptos's current RWA TVL that places it in the top 3 globally?,$420 million,$538 million,$650 million,$720 million,B,No
173,Advanced,Select all factors contributing to the growth of liquid staking and restaking in 2025.,Ethereum's transition to Proof-of-Stake creating staking demand,Capital efficiency improvements through restaking mechanisms,Cross-chain validation opportunities expanding,Regulatory clarity reducing institutional hesitation,"A, B, C, D",Yes
174,Advanced,What is the current TVL of AAVE V3 across all chains as of July 2025?,$23.8 billion,$25.9 billion,$27.2 billion,$29.1 billion,B,No
175,Advanced,Which Solana-based protocols dominate the liquid staking market on that blockchain?,Jito Liquid Staking with $2.7 billion TVL,Sanctum Validator LSTs with $1.6 billion TVL,Binance Staked SOL with $1.4 billion TVL,Jupiter Staked SOL with $785 million TVL,"A, B, C, D",Yes
