No,classification,Question,Option A,Option B,Option C,Option D,Correct option,Multiple Choice or Not
16,Basic,Which of the following is NOT a well-known PFP project?,Fidenza by Tyler Hobbs,Bored Ape Yacht Club,Doodles,Milady Maker,A,Single Choice
17,Basic,"What is a Genesis NFT""?""",The first NFT minted in a project,An NFT created in 2009,An NFT series with a biblical theme,The most expensive NFT,A,Single Choice
18,Basic,"What is an Off-chain Royalty""?""",Royalties charged for off-chain transactions,Royalties not enforced through smart contracts but implemented by marketplace platforms,Royalties paid in fiat currency,Royalties for non-blockchain artwork,B,Single Choice
19,Basic,"What is an NFT Mint Event""?""",An offline gathering for an NFT project,An online event where NFT minting is open at a specific time,An important moment in NFT history,An educational seminar about NFTs,B,Single Choice
20,Basic,"What is a Community-driven NFT Project""?""",An NFT sold exclusively to specific community members,An NFT project where development direction and features are decided by community votes,An NFT co-created by community members,An NFT related to community welfare,B,Single Choice
21,Basic,"What is NFT Crowdfunding""?""",Raising funds for an NFT project,Raising funds for a project or cause by selling NFTs,Multiple people pooling funds to purchase an expensive NFT,A funding pool between NFT creators,B,Single Choice
22,Basic,"What is an NFT Raffle""?""",A raffle event using NFTs as prizes,A system for randomly assigning NFT traits,A discount event in NFT marketplaces,An opportunity to obtain NFTs by purchasing lottery tickets,A,Single Choice
23,Basic,"What is NFT Airdrop Verification""?""",The process of confirming user identity to participate in an airdrop,Verifying the authenticity of airdropped NFTs,Checking if an airdrop was successfully completed,A technical test before an airdrop,A,Single Choice
24,Basic,"What is NFT Liquidity""?""",Liquid assets contained in an NFT,The ease with which an NFT can be quickly bought and sold,The trading volume of an NFT marketplace,The price volatility of an NFT,B,Single Choice
25,Basic,"What is an NFT Rarity Tool""?""",Software that makes NFTs rare,A tool for calculating and comparing the rarity of different NFTs within a collection,A mechanism for limiting the number of NFT mints,A search engine for finding rare NFTs,B,Single Choice
26,Basic,"What is an NFT Marketplace Aggregator""?""",A tool for collecting NFT trading data,A platform that aggregates listings and prices from multiple NFT marketplaces,An alliance of NFT exchanges,A tool for batch purchasing NFTs,B,Single Choice
27,Basic,What is the most common application scenario in sports NFTs?,Virtual sports venues,Virtual player cards,Team collectibles,Sports event tickets,B,Single Choice
28,Basic,Which of the following are core functions of the ERC-721 standard?,Token minting,Token fractionalization,Token transfer,Ownership determination,A/C,Multiple Choice
29,Basic,What information might NFT metadata contain?,Price,Description,Image link,Attributes/traits,B/C/D,Multiple Choice
30,Basic,Which of the following are common NFT storage solutions?,IPFS,Arweave,Filecoin,Centralized servers,B/C/D,Multiple Choice
31,Basic,What storage issues might NFTs face?,Link rot,Centralized server shutdown,Metadata loss,Content censorship,A/B/D,Multiple Choice
32,Basic,Which of the following are common NFT marketplace platforms?,OpenSea,NFTgo,Magiceden,Blur,A/C/D,Multiple Choice
33,Basic,What are applications of NFTs in the metaverse?,Virtual land,Virtual fashion,Virtual food,Virtual quests,A/B,Multiple Choice
34,Basic,Which factors affect the value of an NFT?,Exchange listing expectations,Rarity,Creator reputation,NFT trading volume,B/C,Multiple Choice
35,Basic,What are environmental issues related to NFTs?,Energy consumption,Low NFT value,Electronic waste,Blockchain network congestion,A/C,Multiple Choice
36,Basic,What are legal considerations for NFTs?,Intellectual property,Copyright issues,Tax implications,Regulatory compliance,A/C/D,Multiple Choice
37,Basic,What are revenue sources for NFTs?,Initial sales,Secondary sales royalties,Licensing,Related merchandise sales,A/B/C/D,Multiple Choice
38,Basic,What are social functions of NFTs?,Community membership,Social media profiles,Event access,Community voting rights,A/B/C/D,Multiple Choice
39,Basic,What are technical limitations of NFTs?,Scalability issues,High transaction fees,Interoperability challenges,Complex user experience,A/B/C,Multiple Choice
40,Basic,What are security risks for NFTs?,Smart contract vulnerabilities,Phishing attacks,Counterfeit NFTs,Private key loss,A/B,Multiple Choice
41,Basic,What are marketing strategies for NFTs?,KOL collaborations,Public minting,Limited editions,Roadmap release,A/D,Multiple Choice
42,Basic,What are innovative applications of NFTs?,Digital identity,In-game assets,Music releases,Virtual gaming,A/B,Multiple Choice
43,Basic,What are types of NFT transactions?,Contract transactions,Auctions,Liquidity pool transactions,Batch transactions,B/D,Multiple Choice
44,Basic,What are key factors in evaluating NFT projects?,Team anonymity,Mass art adoption,Market heat,Community activity,A/C/D,Multiple Choice
45,Basic,What are NFT pricing strategies?,Cost-based pricing,Market-based pricing,Faith-based pricing,Random pricing,A/B,Multiple Choice
46,Basic,What are NFT collection strategies?,Collecting based on personal preference,Collecting creator works,Investment collecting,Utility-based collecting,A/B/C/D,Multiple Choice
47,Basic,What are considerations for setting NFT royalties?,Market standards,Long-term project planning,Secondary market activity,Community faith,A/B/C,Multiple Choice
48,Basic,What are on-chain data for NFTs?,Ownership records,Transaction history,Token ID,Minting time,A/B/C/D,Multiple Choice
49,Basic,What are cross-chain solutions for NFTs?,Cross-chain bridges,NFT market making,Multi-chain NFT standards,Trading rule establishment,A/C,Multiple Choice
50,Basic,What are community building strategies for NFTs?,Exclusive logo,Community events,Community benefits,Governance participation,A/B/C/D,Multiple Choice
51,Basic,What are liquidity solutions for NFTs?,NFT+MEME,NFT fractionalization,NFT lending,NFT market making,A/B/C,Multiple Choice
52,Basic,What are NFT creation tools?,Digital art software,NFT minting platforms,Generative AI tools,Metadata editors,A/C,Multiple Choice
53,Basic,What are ways to display NFTs?,Digital exhibitions,Virtual galleries,Physical exhibitions,AR/VR experiences,A/B/D,Multiple Choice
54,Basic,What are methods for NFT authentication?,Creator verification,Platform certification,On-chain signatures,Metadata verification,A/B/C/D,Multiple Choice
55,Basic,What are future development trends for NFTs?,Cross-chain interoperability,Enhanced utility,Integration with physical assets,Increased rarity,A/B/C,Multiple Choice
56,Basic,What are educational resources for NFTs?,Online videos,Community guides,Market indicators,University courses,A/B,Multiple Choice
57,Intermediate,"Which platform first introduced the concept of Lazy Minting""?""",OpenSea,Rarible,LooksRare,Foundation,B,Single Choice
58,Intermediate,"What is the core technical mechanism of Dynamic NFTs""?""",Using off-chain data sources to trigger changes in NFTs,Automatically updating NFT images periodically,Allowing users to manually modify NFTs,Using AI to generate constantly changing NFTs,A,Single Choice
59,Intermediate,Which of the following is NOT a common implementation method for dynamic NFTs?,Using oracles,On-chain random number generation,Time triggers,Centralized server control,D,Single Choice
60,Intermediate,"What is the main technical implementation method for NFT Fractionalization""?""",Physically cutting the NFT image,Creating ERC-20 tokens that represent partial ownership of the original NFT,Breaking down one NFT into multiple independent NFTs,Using a multi-signature wallet to collectively own the NFT,B,Single Choice
61,Intermediate,Which of the following projects does NOT focus on NFT fractionalization?,Fractional,Unicly,Niftex,Rarible,D,Single Choice
62,Intermediate,"What is NFT Collateralized Lending""?""",Using NFTs as collateral for loans,Loans provided for purchasing NFTs,Advance payments received by NFT creators,Using NFTs to pay loan interest,A,Single Choice
63,Intermediate,Which of the following is NOT an NFT collateralized lending platform?,NFTfi,Arcade,BendDAO,Uniswap,D,Single Choice
64,Intermediate,"What is the NFT Royalty Enforcement"" problem?""",The issue of creators not receiving enough royalties,The issue of some marketplaces not enforcing on-chain royalty payments,The issue of reduced trading due to high royalty percentages,The issue of technical errors in royalty calculations,B,Single Choice
65,Intermediate,In 2023, which major NFT marketplace announced changes to its royalty policy, sparking controversy about creator rights?,OpenSea,Blur,Foundation,SuperRare,B,Single Choice
66,Intermediate,"What is Creator Earnings""?""",Income that NFT creators get from initial sales,"OpenSea's alternative term for royalties"" referring to earnings creators receive from secondary sales""",Total income of NFT creators,Income that creators get from NFT-related merchandise,B,Single Choice
67,Intermediate,"What is an NFT Marketplace Aggregator""?""",An analytics tool that collects NFT marketplace data,A platform that aggregates listings and prices from multiple NFT marketplaces,An alliance of NFT exchanges,A tool for batch purchasing NFTs,B,Single Choice
68,Intermediate,Which of the following is a well-known NFT marketplace aggregator?,Gem,Blur,Genie,All of the above,D,Single Choice
69,Intermediate,Which of the following is NOT a common method for identifying NFT wash trading?,Analyzing transaction patterns between wallet addresses,Detecting abnormal price fluctuations,Monitoring transaction frequency,Evaluating the artistic value of NFTs,D,Single Choice
70,Intermediate,"What is an NFT Royalty Tracking"" tool?""",A tool that helps creators track unpaid royalties,An analytics tool for monitoring NFT royalty income,Software that automatically calculates NFT royalties,A verification system to ensure royalties are paid to the right creators,B,Single Choice
71,Intermediate,"What is an NFT Minting Bot""?""",An AI that automatically creates NFT art,A program that automatically participates in NFT minting, typically used to mint popular projects first,A customer service bot for NFT marketplaces,A security tool for detecting fake NFTs,B,Single Choice
72,Intermediate,Which of the following is NOT a common method for preventing minting bots?,CAPTCHA verification,Whitelist presales,Dutch auctions,Increasing the price of NFTs,D,Single Choice
73,Intermediate,"What is NFT Rarity Sniping""?""",A technique for creating extremely rare NFTs,A strategy of identifying and purchasing undervalued rare NFTs before rarity tools are updated,A hacker attack that reduces NFT rarity,A marketing strategy to increase NFT rarity,B,Single Choice
74,Intermediate,"What is the importance of NFT Metadata Standardization""?""",Making NFTs display consistently across different platforms,Reducing NFT creation costs,Increasing NFT rarity,Increasing NFT liquidity,A,Single Choice
75,Intermediate,"What are potential problems with the Mint-and-Reveal"" mechanism?""",It increases user participation complexity,It may lead to user disappointment after minting,Creators may adjust rarity distribution based on mints before reveal,All of the above,D,Single Choice
76,Intermediate,"What is Deterministic Minting""?""",A minting mechanism where users can know in advance which specific NFT they will get,A minting process where AI determines NFT traits,A mechanism that can only mint a predetermined number of NFTs,A system that determines minting eligibility based on user history,A,Single Choice
77,Intermediate,"What is Airdrop Phishing""?""",A marketing strategy of airdropping NFTs to random wallets,A scam using fake airdrop bait to trick users into connecting their wallets or providing private keys,A strategy of selling NFTs immediately after airdrop,A legitimate marketing technique for collecting user data through airdrops,B,Single Choice
78,Intermediate,Which of the following is NOT a best practice for safely receiving NFT airdrops?,Using a dedicated airdrop wallet,Verifying the airdrop source,Researching the code before interacting with unknown smart contracts,Immediately transferring airdropped NFTs to your main wallet,D,Single Choice
79,Intermediate,"What is an NFT Blind Box""?""",An anonymously created NFT,An NFT package with unknown contents at purchase,An NFT with hidden metadata,An NFT without visual elements,B,Single Choice
80,Intermediate,"What is the challenge of On-chain Randomness"" in NFT minting?""",Slow random number generation,True randomness is difficult to achieve in a blockchain environment and may be predicted or manipulated by miners or validators,Randomness leads to uneven distribution of rarity,Randomness increases gas costs,B,Single Choice
81,Intermediate,"What is the application of Verifiable Random Function"" (VRF) in NFTs?""",A function for verifying NFT authenticity,A system providing cryptographically verifiable randomness to determine NFT traits,An algorithm for calculating NFT rarity,A function for verifying NFT transactions,B,Single Choice
82,Intermediate,Which of the following is a well-known project providing verifiable randomness services?,Chainlink VRF,Uniswap,OpenSea,Metamask,A,Single Choice
83,Intermediate,What are the advantages of ERC-1155 compared to ERC-721?,Transfer functionality,Lower gas costs,Support for both fungible and non-fungible tokens,Single contract management of multiple token types,B/C/D,Multiple Choice
84,Intermediate,Where might NFT metadata be stored?,Wallets,IPFS,Arweave,Centralized cloud servers,B/C,Multiple Choice
85,Intermediate,From an artist's perspective, what values do NFTs provide?,Secondary sales royalty income,Unlimited rights to reproduce artwork,Direct interaction with global collectors,Increased transparency in artwork trading,A/C/D,Multiple Choice
86,Intermediate,"What are the advantages of Lazy Minting""?""",Reducing initial costs for creators,Reducing useless data on the blockchain,Allowing creators to test market demand,Reducing gas waste from failed mints,A/B/C/D,Multiple Choice
87,Intermediate,What improvements does ERC-721A offer?,Optimized gas costs for batch minting,Improved token enumeration functionality,Reduced transaction gas fees,Simplified contract structure,A/B/D,Multiple Choice
88,Intermediate,What factors can dynamic NFTs change based on?,External data source inputs,Time,News events,User interactions,A/B/D,Multiple Choice
89,Intermediate,What benefits might NFT fractionalization bring?,Lower barriers to entry,Increased liquidity,Partial ownership,Creation of new secondary markets,A/B/C,Multiple Choice
90,Intermediate,What functions do NFT collateralized lending platforms typically offer?,Peer-to-peer loans,Liquidity pools,Loan term settings,Liquidation mechanisms,A/B/C/D,Multiple Choice
91,Intermediate,What are the challenges of NFT royalty enforcement?,Cross-platform enforcement difficulty,Secondary markets may bypass royalties,On-chain enforcement with smart contracts,Cross-chain enforcement difficulty,A/B/D,Multiple Choice
92,Intermediate,What functions do NFT marketplace aggregators typically provide?,Cross-platform search,Price comparison,Batch purchases,Transaction history analysis,A/B/C/D,Multiple Choice
93,Intermediate,What indicators can help identify NFT wash trading?,Circular transactions between the same addresses,Abnormal price fluctuations,Unreasonable transaction frequency,Cash flow analysis,A/C,Multiple Choice
94,Intermediate,What are methods for freezing NFT metadata?,Using immutable storage solutions,Locking metadata URI in the contract,Using hardware systems,Time-lock mechanisms,A/B/D,Multiple Choice
95,Intermediate,What strategies can help prevent NFT minting bots?,CAPTCHA verification,Whitelist presales,Dutch auctions,Transaction rate limiting,A/C,Multiple Choice
96,Intermediate,What factors might be considered in NFT rarity calculations?,Trait rarity,Trait aesthetics,Statistical distribution,Number of traits,A/C/D,Multiple Choice
97,Intermediate,"What are characteristics of the Mint-and-Reveal"" mechanism?""",Initial hidden metadata,Delayed reveal,Use of randomness,Batch processing,A/B/C/D,Multiple Choice
98,Intermediate,Which statements about NFT regulation issues are correct?,If NFTs are issued as securities, they may need to comply with securities laws and other financial regulations,Some platforms are implementing KYC/AML compliance measures as NFT transactions could be used for money laundering,Most countries have clearly classified NFTs and established unified regulations,Trading NFTs via smart contracts automatically ensures compliance with all legal regulations,A/B,Multiple Choice
99,Intermediate,What challenges does on-chain randomness face in NFTs?,Miner prediction or manipulation,Block timestamp manipulation,Difficulty achieving true randomness,Gas requirements,A/B/C,Multiple Choice
100,Intermediate,What are applications of Verifiable Random Functions (VRF) in NFTs?,Creating NFT traits,Fair distribution of rarity,Random whitelist selection,Gamification elements,B/C,Multiple Choice
101,Advanced,What is the ERC-6551 standard?,A new NFT trading protocol,A token-bound account standard that provides smart contract functionality for NFTs,An NFT royalty distribution standard,A cross-chain NFT standard,B,Single Choice
102,Advanced,What is the main innovation of ERC-6551?,Reducing NFT transaction costs,Enabling each NFT to have its own smart contract account that can hold assets and execute transactions,Improving NFT security,Simplifying NFT creation,B,Single Choice
103,Advanced,Which of the following is NOT a potential application scenario for ERC-6551?,Game characters owning their own item inventories,NFTs being able to hold and manage other assets,Creating on-chain identity and reputation for NFTs,Reducing NFT minting costs,D,Single Choice
104,Advanced,"What is the relationship between Account Abstraction"" and NFTs?""",Making NFTs more abstract and conceptual,Allowing NFTs to act as smart contract accounts without users directly paying gas,Simplifying NFT metadata structure,Making NFT visual representations more abstract,B,Single Choice
105,Advanced,"What is the Lens Protocol""?""",An NFT photography standard,A decentralized social graph protocol based on NFTs,An NFT mirroring technology,An NFT marketplace aggregator,B,Single Choice
106,Advanced,What is the core innovation of Lens Protocol?,Using NFTs to represent social media profiles, follow relationships, and content,Providing high-definition NFT images,Reducing NFT transaction costs,Enhancing NFT privacy protection,A,Single Choice
107,Advanced,Which of the following is NOT a main component of Lens Protocol?,Profiles,Publications,Follows,Transactions,D,Single Choice
108,Advanced,"What is Modular NFT Architecture""?""",Physically assemblable NFTs,A design approach that breaks down NFT functionality into interchangeable and upgradable components,An NFT display system,An NFT classification method,B,Single Choice
109,Advanced,What is the main advantage of modular NFT architecture?,Reducing NFT creation costs,Allowing specific functionality to be updated or extended without replacing the entire NFT,Increasing NFT rarity,Simplifying NFT trading process,B,Single Choice
110,Advanced,What is the liquidation mechanism in NFT collateralized lending protocols?,The process of selling NFTs when their value decreases,A mechanism for transferring NFT collateral to lenders or auctioning it when borrowers default,An algorithm for calculating NFT value,A procedure for canceling NFT loans,B,Single Choice
111,Advanced,What is the main challenge faced by NFT lending protocols?,The difficulty of NFT value assessment,Lack of standardized liquidation processes,Lower liquidity compared to fungible tokens,All of the above,D,Single Choice
112,Advanced,"What is the Blend"" protocol?""",An NFT blending creation tool,A protocol that allows users to use NFTs as collateral for borrowing,An NFT color blending standard,An NFT trading aggregation platform,B,Single Choice
113,Advanced,What is the innovation of the Blend protocol?,Supporting multiple NFT collections as collateral,Providing fixed rate and term loans,Introducing a liquidity pool model instead of peer-to-peer,All of the above,D,Single Choice
114,Advanced,"What are NFT Derivatives""?""",Copies created from original NFTs,Financial instruments created based on the value or characteristics of existing NFTs,Physical replicas of NFTs,Secondary creations of NFTs,B,Single Choice
115,Advanced,Which of the following is NOT an example of NFT derivatives?,NFT futures contracts,NFT index funds,NFT options,NFT airdrops,D,Single Choice
116,Advanced,"What is an NFT Index""?""",A metric for measuring the value of a single NFT,A financial instrument representing the value of a basket of NFT assets,A search engine for NFT markets,A method for calculating NFT rarity,B,Single Choice
117,Advanced,"What are On-chain NFT Options""?""",Contracts recorded on the blockchain giving the right to buy or sell specific NFTs,Options to change NFT characteristics,Different display options for NFTs,Trading options for NFTs,A,Single Choice
118,Advanced,"What is the main technical challenge of NFT Rental Protocols""?""",Ensuring automatic return of NFTs when the rental period expires,Preventing renters from transferring NFTs during the rental period,Determining reasonable rental prices,All of the above,D,Single Choice
119,Advanced,Which of the following is NOT a common implementation method for NFT rentals?,Wrapped NFTs,Delegation of use rights,Time-locked contracts,Physical delivery,D,Single Choice
120,Advanced,"What is the main method of NFT Collateral Valuation""?""",Based on historical sales data,Based on rarity scores,Based on liquidity indicators,All of the above,D,Single Choice
121,Advanced,"What is a Zero-Knowledge NFT""?""",An NFT without any metadata,An NFT using zero-knowledge proof technology to protect privacy or verify attributes,An anonymously created NFT,An NFT without visual representation,B,Single Choice
122,Advanced,What is the main application scenario for zero-knowledge NFTs?,Privacy-protected identity verification,Collectibles that don't publicly reveal certain attributes,NFTs with confidential transaction history,All of the above,D,Single Choice
123,Advanced,"What is NFT Interoperability""?""",The ability of NFTs to work seamlessly across different applications and ecosystems,The interaction capability between different NFTs,The connection between NFTs and physical assets,The cross-platform display capability of NFTs,A,Single Choice
124,Advanced,Which of the following is NOT a method for improving NFT interoperability?,Cross-chain bridging,Unified metadata standards,Shared identity systems,Increasing NFT rarity,D,Single Choice
125,Advanced,"What is NFT Data Composability""?""",The ability to combine multiple NFTs into one,The characteristic of NFT data being seamlessly readable and usable by other applications and smart contracts,The layered data structure of NFTs,The compression technology for NFT metadata,B,Single Choice
126,Advanced,"What is NFT Identity Verification""?""",The process of verifying the identity of NFT creators,A system using NFTs as identity credentials,A method for confirming NFT authenticity,The process of associating user identity with NFTs,B,Single Choice
127,Advanced,Which of the following is NOT a potential advantage of NFT identity systems?,User control over personal data,Verifiable reputation systems,Cross-platform identity,Centralized management,D,Single Choice
128,Advanced,"What are Soulbound Tokens (SBTs)""?""",NFTs bound to specific game characters,Non-transferable tokens permanently bound to specific wallet addresses,NFTs with religious themes,NFTs that can be inherited after death,B,Single Choice
129,Advanced,What is the main use case for Soulbound Tokens?,In-game items,Digital identity and reputation proofs,Investment tools,Social media profiles,B,Single Choice
130,Advanced,"What is NFT Governance""?""",Legal frameworks regulating NFT markets,Systems using NFTs for decentralized decision-making,Management structures for NFT projects,Rules controlling NFT creation,B,Single Choice
131,Advanced,Which of the following is NOT a common mode of NFT governance?,Holder voting,Rarity-weighted voting,Representative governance,Centralized decision-making,D,Single Choice
132,Advanced,"What is NFT-Physical Asset Binding""?""",Printing NFTs as physical artwork,Associating NFTs with real-world items as proof of ownership or authenticity,Using physical devices to store NFTs,Technology for displaying NFTs in physical locations,B,Single Choice
133,Advanced,Which of the following is NOT a common technology for NFT-physical asset binding?,NFC tags,QR codes,Serial number verification,Blockchain sharding,D,Single Choice
134,Advanced,"What is NFT Metaverse Interoperability""?""",The ability to transfer and use NFTs across different metaverse platforms,The display quality of NFTs in metaverses,The process of creating NFTs in metaverses,The interaction method between NFTs and metaverse users,A,Single Choice
135,Advanced,Which project focuses on providing cross-metaverse NFT standards?,Decentraland,The Sandbox,Metametaverse,Roblox,C,Single Choice
136,Advanced,"What is the NFT Narrative Layer""?""",Visual storytelling elements of NFTs,Background stories and worldbuilding that enhance the collection value of NFTs,The text portion of NFT descriptions,Marketing strategies for NFTs,B,Single Choice
137,Advanced,"What are On-chain SVG NFTs""?""",NFTs using scalable vector graphics stored entirely on the blockchain,An NFT file format,An NFT compression technology,An NFT display standard,A,Single Choice
138,Advanced,What is the main advantage of on-chain SVG NFTs?,Higher resolution,Complete on-chain storage, eliminating dependency on external storage,Lower creation costs,Better compatibility,B,Single Choice
139,Advanced,"What is an NFT Royalty Distribution Protocol""?""",A system for determining initial NFT sale prices,A smart contract system that automatically distributes royalties to multiple contributors,A calculation method for NFT transaction taxes,A schedule for royalty payments,B,Single Choice
140,Advanced,"What is a Sybil-resistant NFT"" mechanism?""",A system that prevents a single user from creating multiple identities to gain unfair advantages,A technology that prevents NFTs from being copied,Security measures for NFTs against hacker attacks,A mechanism to prevent NFT price manipulation,A,Single Choice
141,Advanced,What are the core functionalities of ERC-6551?,Creating smart contract accounts for NFTs,Allowing NFTs to hold assets,Enabling NFTs to execute transactions,Establishing on-chain identity for NFTs,A/B/C/D,Multiple Choice
142,Advanced,Which of the following are emerging trends in the NFT space?,Music NFTs allowing fans to directly invest in music works and potentially share song royalties,Soulbound Tokens as special NFTs used for proving personal credentials that cannot be transferred,NFTs combined with DeFi such as fractionalization for liquidity mining or as collateral for lending,NFT technology has completely solved copyright attribution and counterfeit issues for digital assets,A/B/C,Multiple Choice
143,Advanced,What are the advantages of modular NFT architecture?,Functional upgradeability,Component reuse,Simplified development of complex functionalities,Reduced issuance costs,A/B/C,Multiple Choice
144,Advanced,What challenges do NFT lending protocols face?,Difficulty in NFT value assessment,Low liquidity,Complex liquidation mechanisms,Price volatility and risk stability,A/B/C,Multiple Choice
145,Advanced,What types of NFT derivatives exist?,NFT futures,NFT options,NFT indices,NFT synthetic assets,A/B/C/D,Multiple Choice
146,Advanced,What technical issues need to be solved by NFT rental protocols?,Separation of usage rights and ownership,Automatic return upon rental expiration,NFT tampering,NFT royalty distribution,A/B,Multiple Choice
147,Advanced,What scenarios can zero-knowledge NFTs be applied to?,Privacy-protected identity verification,Selectively disclosed collectibles,Anonymous ownership proof,Confidential transaction history,A/B/C/D,Multiple Choice
148,Advanced,What methods improve NFT interoperability?,Unified metadata standards,Cross-chain bridge technology,Shared identity systems,Closed API interfaces,A/B/C,Multiple Choice
149,Advanced,What scenarios can Soulbound Tokens (SBTs) be used for?,Educational certificates,Professional qualification certifications,Organizational memberships,Personal achievement records,A/B/C/D,Multiple Choice
150,Advanced,What technologies can be used for NFT-physical asset binding?,NFC tags,QR codes,Serial number verification,DNA modification,A/B/C,Multiple Choice
151,Advanced,How can a Sybil-attack resistant NFT airdrop scheme be designed?,Using Proof of Humanity verification,Implementing reputation-based eligibility screening,Requiring proof of on-chain activity history,Combining multi-factor verification mechanisms,A/C/D,Multiple Choice
152,Advanced,What are elements of the NFT narrative layer?,Background story,Character development,World-building,Community activity,A/B/C,Multiple Choice 
153,Advanced,Which of the following features are unique to Aptos Digital Asset (DA) standard compared to traditional ERC-721?,Direct NFT transfer without recipient opt-in,NFT composability allowing NFTs to own other NFTs,Token extension capabilities via Move Objects,Automatic royalty enforcement at protocol level,"A, B, C",Yes
154,Advanced,What is the primary advantage of Solana's Compressed NFTs (cNFTs) using the Bubblegum program?,Higher transaction throughput,Data stored in Merkle trees instead of on-chain,Enhanced security through zero-knowledge proofs,Cross-chain compatibility,B,No
155,Advanced,"According to 2025 market data, which statement about NFT market performance is accurate?",NFT trading volume increased by 19% in 2024,NFT lending market declined 97% from January 2024 to May 2025,Q2 2025 sales volume reached $4 billion,OpenSea's OS2 platform supports only 7 blockchains,B,No
156,Advanced,How many blockchains does OpenSea's OS2 platform support as of 2025?,14 blockchains,16 blockchains,19 blockchains,22 blockchains,C,No
157,Advanced,What does ERC-6551 Token Bound Accounts (TBA) enable NFTs to do?,Own their own Ethereum accounts,Hold assets and interact with smart contracts,Execute blockchain transactions autonomously,Generate passive income through staking,"A, B, C",Yes
158,Advanced,Sui's object-centric data model provides which key advantages for NFT development?,Parallel transaction execution,Truly dynamic NFTs with mutable properties,Simplified composability between assets,Reduced gas fees compared to Ethereum,"A, B, C",Yes
159,Advanced,What is the current floor price range for CryptoPunks as of July 2025?,25-30 ETH,35-40 ETH,39-42 ETH,45-50 ETH,C,No
160,Advanced,Which major development occurred with Azuki NFT project in 2025?,Launch of Studio Azuki anime production house,Partnership with Will Smith's Westbrook,Collaboration with Japanese companies COMISMA and Xenotoon,All of the above,D,No
161,Advanced,What is unique about Cardano's native token approach for NFTs?,Requires custom smart contracts for minting,Protocol-level support without smart contracts,Uses ERC-721 compatibility layer,Implements proof-of-stake consensus for NFTs,B,No
162,Advanced,Which features distinguish Tezos FA2 standard from Ethereum's ERC standards?,Support for both fungible and non-fungible tokens,Built-in governance mechanisms,Energy-efficient proof-of-stake consensus,Formal verification capabilities,"A, C, D",Yes
163,Advanced,What is the significance of Pudgy Penguins' PENGU token ETF filing in 2025?,First NFT-based ETF ever filed,Second memecoin-style ETF after DOGE,Allocates 80-95% to PENGU tokens and 5-15% to NFTs,Approved by SEC for immediate trading,"B, C",Yes
