id,question,answer,category,task_type,evaluation_method
85,Which of the following are application scenarios for 'Zero-Knowledge Proofs' in blockchain? Options: A) Privacy transactions B) Identity verification C) Scalability solutions (ZK Rollups) D) Mining optimization,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
86,Which of the following are challenges of blockchain 'sharding' technology? Options: A) Cross-shard communication B) Data availability C) Single points of failure D) Reduced security,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
87,Which of the following are types of blockchain 'oracles'? Options: A) Centralized oracles B) Decentralized oracles C) Hybrid oracles D) Automatic oracles,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
88,Which of the following are limitations of blockchain 'state channels'? Options: A) Requiring participants to be online B) Suitable for frequent interactions between specific participants C) Not suitable for one-time transactions D) Requiring on-chain transactions,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
89,Which of the following are variants of 'Proof of Stake' (PoS) in blockchain? Options: A) Delegated Proof of Stake (DPoS) B) Liquid Proof of Stake (LPoS) C) Proof of Work (PoW) D) Pure Proof of Stake (Pure PoS),"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
90,Which of the following are characteristics of 'Byzantine Fault Tolerance' (BFT) consensus algorithms in blockchain? Options: A) High transaction throughput B) Instant finality C) High energy consumption D) Requiring a known set of validators,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
91,Which of the following are characteristics of 'Light Clients' in blockchain? Options: A) Only downloading block headers B) Using Simplified Payment Verification (SPV) C) Verifying all transactions D) Storing complete state,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
92,Which of the following are solutions to the 'data availability' problem in blockchain? Options: A) Data availability sampling B) Erasure coding C) Centralized storage D) Celestia,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
93,Which of the following are implementation methods for 'Deterministic Finality' in blockchain? Options: A) Byzantine Fault Tolerance (BFT) consensus B) Checkpoint mechanisms C) Proof of Work (PoW) D) Longest chain rule,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
94,Which of the following are challenges of 'cross-chain technology' in blockchain? Options: A) Atomic guarantees B) Reduced security C) Centralization risks D) Lack of standardization,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
95,Which of the following are characteristics of 'Self-Sovereign Identity' in blockchain? Options: A) User control of personal data B) Decentralization C) Verifiable credentials D) Centralized management,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
96,Which of the following are advantages of 'Stateless Clients' in blockchain? Options: A) Reduced storage requirements B) Fast synchronization C) Enhanced privacy D) Improved transaction throughput,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
97,Which of the following are benefits of 'Validator Rotation' in blockchain? Options: A) Preventing long-term control B) Distributing power C) Increasing participation opportunities D) Improving transaction speed,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
98,Which of the following are applications of 'Merkle Trees' in blockchain? Options: A) Transaction verification B) Block header construction C) Simplified Payment Verification (SPV) D) Mining optimization,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
99,Which of the following are advantages of 'Off-chain Computation' in blockchain? Options: A) Improving computational efficiency B) Reducing costs C) Enhancing privacy D) Increasing decentralization,"A, B, C",dmind_blockchain_fundamentals,multiple_choice,rule_based
100,Which of the following are development trends in the Bitcoin network? Options: A) Layer 2 scaling solutions B) Ordinals protocol C) Centralized control D) Abandoning Proof of Work,"A, B",dmind_blockchain_fundamentals,multiple_choice,rule_based
101,What innovative mechanism did EigenLayer's re-staking protocol introduce to solve validator incentive problems? Options: A) Two-layer staking structure B) Dynamic penalty mechanism C) Reputation scoring system D) Automatic compound rewards,Two-layer staking structure,dmind_blockchain_fundamentals,multiple_choice,rule_based
102,In modular blockchain architecture， which component is responsible for ensuring data availability without processing execution? Options: A) Execution layer B) Consensus layer C) Data availability layer D) Settlement layer,Data availability layer,dmind_blockchain_fundamentals,multiple_choice,rule_based
103,What technology did Celestia introduce as a data availability layer innovation in early 2024? Options: A) Zero-knowledge proofs B) Data availability sampling C) Sharded execution D) State channels,Data availability sampling,dmind_blockchain_fundamentals,multiple_choice,rule_based
104,Which attack exploits propagation delays in blockchain networks to gain unfair advantages? Options: A) Timestamp manipulation B) Front-running attack C) Replay attack D) Eclipse attack,Front-running attack,dmind_blockchain_fundamentals,multiple_choice,rule_based
105,What is the main risk of 'Trusted Setup' in zero-knowledge proof systems? Options: A) Excessively high computational complexity B) If setup parameters are leaked C) system security can be compromised D) Verification process becomes non-transparent,Requires centralized servers,dmind_blockchain_fundamentals,multiple_choice,rule_based
106,What does the 'client diversity' problem in the Bitcoin network primarily focus on? Options: A) Diversity of user interfaces B) Distribution of different node software implementations C) Diversity of mining hardware D) Diversity of transaction types,Distribution of different node software implementations,dmind_blockchain_fundamentals,multiple_choice,rule_based
107,Which consensus mechanism is most vulnerable to the 'Nothing at Stake' problem? Options: A) Proof of Work (PoW) B) Pure Proof of Stake (Pure PoS) C) Delegated Proof of Stake (DPoS) D) Practical Byzantine Fault Tolerance (PBFT),Pure Proof of Stake (Pure PoS),dmind_blockchain_fundamentals,multiple_choice,rule_based
108,What problem does the 'Adaptive Difficulty' mechanism primarily solve in blockchain networks? Options: A) Network re-synchronization after partitioning B) Block time instability caused by computing power fluctuations C) Changes in validator numbers D) Transaction fee market,Block time instability caused by computing power fluctuations,dmind_blockchain_fundamentals,multiple_choice,rule_based
109,Which blockchain interoperability solution implemented more efficient cross-chain verification using zero-knowledge proofs? Options: A) Cosmos IBC B) Polkadot XCMP C) zkBridge D) Chainlink CCIP,zkBridge,dmind_blockchain_fundamentals,multiple_choice,rule_based
110,What does 'Capture Resistance' primarily refer to in blockchain governance? Options: A) Preventing 51% attacks B) Preventing specific interest groups from controlling decision processes C) Preventing transaction rollbacks D) Preventing data leaks,Preventing specific interest groups from controlling decision processes,dmind_blockchain_fundamentals,multiple_choice,rule_based
111,Which technology is most suitable for solving the 'state explosion' problem in blockchain? Options: A) Sharding B) State rent C) Off-chain computation D) Larger blocks,State rent,dmind_blockchain_fundamentals,multiple_choice,rule_based
112,What did the 'Taproot' upgrade in the Bitcoin network primarily improve? Options: A) Transaction throughput B) Privacy and smart contract capabilities C) Mining algorithm D) Network security,Privacy and smart contract capabilities,dmind_blockchain_fundamentals,multiple_choice,rule_based
113,What is the main innovation of 'Deterministic Wallets' in blockchain? Options: A) Generating multiple key pairs from a single seed B) Improving transaction speed C) Enhancing privacy protection D) Reducing transaction fees,Generating multiple key pairs from a single seed,dmind_blockchain_fundamentals,multiple_choice,rule_based
114,Which attack exploits the blockchain network's memory pool (Mempool) mechanism? Options: A) Replay attack B) Sybil attack C) Transaction replacement attack D) 51% attack,Transaction replacement attack,dmind_blockchain_fundamentals,multiple_choice,rule_based
115,What is the fundamental difference between 'state channels' and 'sidechains' in blockchain? Options: A) State channels are temporary while sidechains are permanent B) State channels only support payments while sidechains support smart contracts C) State channels don't require trust assumptions while sidechains do D) State channels use their own consensus mechanisms while sidechains rely on the main chain consensus,State channels use their own consensus mechanisms while sidechains rely on the main chain consensus,dmind_blockchain_fundamentals,multiple_choice,rule_based
116,Which blockchain scaling approach improves throughput through 'optimistic' assumptions? Options: A) ZK Rollups B) Optimistic Rollups C) Validium D) Plasma,Optimistic Rollups,dmind_blockchain_fundamentals,multiple_choice,rule_based
117,Which type of consensus mechanism is 'Long-Range Attack' primarily targeted at? Options: A) Proof of Work (PoW) B) Proof of Stake (PoS) C) Practical Byzantine Fault Tolerance (PBFT) D) Delegated Proof of Stake (DPoS),Proof of Stake (PoS),dmind_blockchain_fundamentals,multiple_choice,rule_based
118,Which technology is most suitable for solving the 'data availability' problem in blockchain? Options: A) Erasure coding B) Sharding C) State channels D) Zero-knowledge proofs,Erasure coding,dmind_blockchain_fundamentals,multiple_choice,rule_based
119,Which blockchain architecture design improves scalability by separating execution from consensus? Options: A) Monolithic architecture B) Modular architecture C) Layered architecture D) Microservice architecture,Modular architecture,dmind_blockchain_fundamentals,multiple_choice,rule_based
120,What problem does the 'Validator Rotation' mechanism primarily solve in blockchain? Options: A) Long-term control risk B) Transaction ordering C) Network congestion D) Storage bloat,Long-term control risk,dmind_blockchain_fundamentals,multiple_choice,rule_based
121,Which technology is most suitable for implementing 'Verifiable Delay Functions' (VDFs) in blockchain? Options: A) Hash functions B) Asymmetric encryption C) Sequential computation D) Zero-knowledge proofs,Sequential computation,dmind_blockchain_fundamentals,multiple_choice,rule_based
122,What is the main challenge of 'Stateless Validation' in blockchain? Options: A) Proof size B) Computational complexity C) Network latency D) Storage requirements,Proof size,dmind_blockchain_fundamentals,multiple_choice,rule_based
123,Which blockchain technology enhances privacy protection by introducing 'Trusted Execution Environments' (TEEs)? Options: A) Secret Network B) Monero C) Zcash D) Dash,Secret Network,dmind_blockchain_fundamentals,multiple_choice,rule_based
124,What is the main purpose of 'Fork Choice Rules' in blockchain? Options: A) Determining which fork is the canonical chain B) Creating new forks C) Merging forks D) Preventing forks,Determining which fork is the canonical chain,dmind_blockchain_fundamentals,multiple_choice,rule_based
125,Which technology is most suitable for solving the 'frontend centralization' problem in blockchain? Options: A) Decentralized storage (IPFS) B) Decentralized Name System (ENS) C) Sharding D) State channels,Decentralized storage (IPFS),dmind_blockchain_fundamentals,multiple_choice,rule_based
126,What is the main difference between 'Eventual Consistency' and 'Instant Finality' in blockchain? Options: A) Transaction confirmation time B) Security guarantees C) Network size D) Energy consumption,Security guarantees,dmind_blockchain_fundamentals,multiple_choice,rule_based
127,Which blockchain technology enhances security through 'Threshold Signatures'? Options: A) Multi-signatures B) Distributed Key Generation C) Ring signatures D) Blind signatures,Distributed Key Generation,dmind_blockchain_fundamentals,multiple_choice,rule_based
128,What is the main challenge of 'Permissionless Finality' in blockchain? Options: A) Achieving deterministic finality in open networks B) Reducing energy consumption C) Improving transaction throughput D) Simplifying protocol design,Achieving deterministic finality in open networks,dmind_blockchain_fundamentals,multiple_choice,rule_based
129,Which of the following are components of modular blockchain architecture? Options: A) Execution layer B) Data availability layer C) Centralized control layer D) Settlement layer,"A, B, D",dmind_blockchain_fundamentals,multiple_choice,rule_based
